,,"Australian Securities and Investments Commission (ASIC) Key Questions and Good Practice Guidance
 to CRI Profile ver. 2.1 Mapping","Australian Securities and Investments Commission (ASIC) Key Questions and Good Practice Guidance
 to CRI Profile ver. 2.1 Mapping","Australian Securities and Investments Commission (ASIC) Key Questions and Good Practice Guidance
 to CRI Profile ver. 2.1 Mapping","Australian Securities and Investments Commission (ASIC) Key Questions and Good Practice Guidance
 to CRI Profile ver. 2.1 Mapping","Australian Securities and Investments Commission (ASIC) Key Questions and Good Practice Guidance
 to CRI Profile ver. 2.1 Mapping","Australian Securities and Investments Commission (ASIC) Key Questions and Good Practice Guidance
 to CRI Profile ver. 2.1 Mapping","Australian Securities and Investments Commission (ASIC) Key Questions and Good Practice Guidance
 to CRI Profile ver. 2.1 Mapping",,,
ASIC Key Questions for an Organisation’s Board of Directors and Cyber Resilience Good Practice Guidance,ASIC Key Questions for an Organisation’s Board of Directors and Cyber Resilience Good Practice Guidance,ASIC Key Questions for an Organisation’s Board of Directors and Cyber Resilience Good Practice Guidance,ASIC Key Questions for an Organisation’s Board of Directors and Cyber Resilience Good Practice Guidance,ASIC Key Questions for an Organisation’s Board of Directors and Cyber Resilience Good Practice Guidance,Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
SourceId,ASIC Guidance Section,Key Question / Good Practice,Area,Key Question / Good Practice Statement,Rationale,Relationship,ACS,FCS,CRI Profile ver. 2.1 Diagnostic Statement,Profile Subcategory,Profile Id
ASIC-KQ03,Key questions for an organisation’s board of directors / Identifying cyber risk,Key Questions #3: Identifying cyber risk,,Different businesses will be exposed to different cyber risks and different potential consequences. It is important for the board to reflect on risks relevant to the particular business of the organisation. Without understanding the nature of the risk and its consequences it is difficult for a board to set a suitable risk tolerance for the risk and to ensure that cyber risks are adequately dealt with by the organisation’s risk management framework.,Semantic,Superset of,8,8,"GV.OC-02.01: The organization's obligation to its customers, employees, and stakeholders to maintain safety and soundness, while balancing size and complexity, is reflected in the organization's risk management strategy and framework,  its risk appetite and risk tolerance statements, and in a risk-aware culture.",GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.01
ASIC-KQ03,Key questions for an organisation’s board of directors / Identifying cyber risk,Key Questions #3: Identifying cyber risk,,Different businesses will be exposed to different cyber risks and different potential consequences. It is important for the board to reflect on risks relevant to the particular business of the organisation. Without understanding the nature of the risk and its consequences it is difficult for a board to set a suitable risk tolerance for the risk and to ensure that cyber risks are adequately dealt with by the organisation’s risk management framework.,Semantic,Superset of,8,8,GV.OC-02.02: Technology and cybersecurity risk management strategies identify and communicate the organization’s role within the financial services sector as a component of critical infrastructure.,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.02
ASIC-KQ03,Key questions for an organisation’s board of directors / Identifying cyber risk,Key Questions #3: Identifying cyber risk,,Different businesses will be exposed to different cyber risks and different potential consequences. It is important for the board to reflect on risks relevant to the particular business of the organisation. Without understanding the nature of the risk and its consequences it is difficult for a board to set a suitable risk tolerance for the risk and to ensure that cyber risks are adequately dealt with by the organisation’s risk management framework.,Semantic,Superset of,8,8,GV.OC-02.03: Technology and cybersecurity risk management strategies identify and communicate the organization's role as it relates to other critical infrastructure sectors outside of the financial services sector and the interdependency risks.,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.03
ASIC-KQ03,Key questions for an organisation’s board of directors / Identifying cyber risk,Key Questions #3: Identifying cyber risk,,Different businesses will be exposed to different cyber risks and different potential consequences. It is important for the board to reflect on risks relevant to the particular business of the organisation. Without understanding the nature of the risk and its consequences it is difficult for a board to set a suitable risk tolerance for the risk and to ensure that cyber risks are adequately dealt with by the organisation’s risk management framework.,Semantic,Superset of,8,8,"GV.RM-04.01: The governing authority (e.g., the Board or one of its committees) and senior management provide guidance, direction, and credible challenge in the design and implementation of risk management strategies, assessment of identified risks against risk appetite and risk tolerance, and in the selection of risk treatment approaches.",GOVERN / Risk Management Strategy / Risk Response Strategic Direction,GV.RM-04.01
ASIC-KQ03,Key questions for an organisation’s board of directors / Identifying cyber risk,Key Questions #3: Identifying cyber risk,,Different businesses will be exposed to different cyber risks and different potential consequences. It is important for the board to reflect on risks relevant to the particular business of the organisation. Without understanding the nature of the risk and its consequences it is difficult for a board to set a suitable risk tolerance for the risk and to ensure that cyber risks are adequately dealt with by the organisation’s risk management framework.,Semantic,Superset of,6,8,"GV.IR-01.03: The independent risk management function has an understanding of the organization's structure, technology and cybersecurity strategies and programs, and relevant risks and threats.",GOVERN / Independent Risk Management Function / Independent Risk Management Function,GV.IR-01.03
ASIC-KQ03,Key questions for an organisation’s board of directors / Identifying cyber risk,Key Questions #3: Identifying cyber risk,,Different businesses will be exposed to different cyber risks and different potential consequences. It is important for the board to reflect on risks relevant to the particular business of the organisation. Without understanding the nature of the risk and its consequences it is difficult for a board to set a suitable risk tolerance for the risk and to ensure that cyber risks are adequately dealt with by the organisation’s risk management framework.,Semantic,Superset of,9,8,"ID.RA-05.03: The organization's business units assess, on an ongoing basis, the technology, cybersecurity, and resilience risks associated with the activities of the business unit.",IDENTIFY / Risk Assessment / Risk Exposure Determination & Prioritization,ID.RA-05.03
ASIC-KQ04,Key questions for an organisation’s board of directors / Identifying cyber risk,Key Questions #4: Identifying cyber risk,,"Although boards may not require general technology expertise, for many companies it may be advisable to have one or more directors who have a strategic understanding of technology and its associated risks, or who have a background in cybersecurity.
In some circumstances, the board should consider the use of external cyber experts to review and challenge the information presented by senior management.",Semantic,Equal,10,10,"PR.AT-02.08: Where the organization's governing authority (e.g., the Board or one of its committees) does not have adequate cybersecurity expertise, they should have direct access to the senior officer responsible for cybersecurity and independent sources of expertise to discuss cybersecurity related matters.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.08
ASIC-KQ05,Key questions for an organisation’s board of directors / Monitoring cyber risk,Key Questions #5: Monitoring cyber risk,,"Trying to identify a cyber risk may pose particular challenges. Organisations at the forefront of good practice are using intelligence-driven solutions to deal with this challenge.
For some organisations malicious cyber activities may be devastating to the organisation’s business operations, therefore, it is important to consider what might lead to the provision of more detailed information on the risk to senior management and the board.",Semantic,Intersects with,7,9,"DE.AE-02.02: The organization establishes, documents, and regularly reviews event alert parameters and thresholds, as well as rule-based triggers to support automated responses, when known attack patterns, signatures or behaviors are detected.",DETECT / Adverse Event Analysis / Potentially Adverse Event Analysis,DE.AE-02.02
ASIC-KQ05,Key questions for an organisation’s board of directors / Monitoring cyber risk,Key Questions #5: Monitoring cyber risk,,"Trying to identify a cyber risk may pose particular challenges. Organisations at the forefront of good practice are using intelligence-driven solutions to deal with this challenge.
For some organisations malicious cyber activities may be devastating to the organisation’s business operations, therefore, it is important to consider what might lead to the provision of more detailed information on the risk to senior management and the board.",Semantic,Intersects with,7,9,"DE.AE-06.01: The organization has established processes and protocols to communicate, alert, and regularly report potential cyber attacks and incident information, including its corresponding analysis and cyber threat intelligence, to authorized internal and external stakeholders.",DETECT / Adverse Event Analysis / Event Information Sharing,DE.AE-06.01
ASIC-KQ05,Key questions for an organisation’s board of directors / Monitoring cyber risk,Key Questions #5: Monitoring cyber risk,,"Trying to identify a cyber risk may pose particular challenges. Organisations at the forefront of good practice are using intelligence-driven solutions to deal with this challenge.
For some organisations malicious cyber activities may be devastating to the organisation’s business operations, therefore, it is important to consider what might lead to the provision of more detailed information on the risk to senior management and the board.",Semantic,Superset of,8,9,"RS.CO-03.01: The organization ensures that cyber threat intelligence is made available, in a secure manner, to authorized staff with responsibility for the mitigation of cyber risks at the strategic, tactical and operational levels within the organization.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Information Sharing,RS.CO-03.01
