,,Hong Kong Securities and Futures Commission Guidelines for Reducing and Mitigating Hacking Risks Associated with Internet Trading to CRI Profile ver. 2.1 Mapping,Hong Kong Securities and Futures Commission Guidelines for Reducing and Mitigating Hacking Risks Associated with Internet Trading to CRI Profile ver. 2.1 Mapping,Hong Kong Securities and Futures Commission Guidelines for Reducing and Mitigating Hacking Risks Associated with Internet Trading to CRI Profile ver. 2.1 Mapping,Hong Kong Securities and Futures Commission Guidelines for Reducing and Mitigating Hacking Risks Associated with Internet Trading to CRI Profile ver. 2.1 Mapping,Hong Kong Securities and Futures Commission Guidelines for Reducing and Mitigating Hacking Risks Associated with Internet Trading to CRI Profile ver. 2.1 Mapping,,,
HK-SFC-1.05,1. Protection of clients’ internet trading accounts,1.5 Protection of client login passwords,"A licensed or registered person should establish and implement effective policies and procedures to ensure that a client login password is generated and delivered to a client in a secure manner during the account activation and password reset processes. A client login password should be randomly generated by the system and sent to a client through a channel of communication which is free from human intervention and from tampering by staff of the licensed or registered person.

In a situation where a client login password is not randomly generated by the system, the licensed or registered person should implement adequate compensating security controls such as compulsory change of password upon the first login after client account activation.",Functional,intersects,7,"PR.AA-03.01: Based on the risk level of a user access or a specific transaction, the organization defines and implements authentication requirements, which may include multi-factor or out-of-band authentication, and may adopt other real-time risk prevention or mitigation tactics.","PROTECT / Identity Management, Authentication, and Access Control / Authentication",PR.AA-03.01
HK-SFC-1.06,1. Protection of clients’ internet trading accounts,1.6 Stringent password policies and session timeout controls,"A licensed or registered person should set up stringent password policies and session timeout controls in its internet trading system, which include:

(a) Minimum password length;
(b) Periodic reminders for those clients who have not changed their passwords for a long period;
(c) Minimum password complexity (ie, alphanumeric) and history;
(d) Appropriate controls on invalid login attempts; and
(e) Session timeout after a period of inactivity.",Functional,intersects,9,"PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",PR.AA-01.01
HK-SFC-1.06,1. Protection of clients’ internet trading accounts,1.6 Stringent password policies and session timeout controls,"A licensed or registered person should set up stringent password policies and session timeout controls in its internet trading system, which include:

(a) Minimum password length;
(b) Periodic reminders for those clients who have not changed their passwords for a long period;
(c) Minimum password complexity (ie, alphanumeric) and history;
(d) Appropriate controls on invalid login attempts; and
(e) Session timeout after a period of inactivity.",Functional,intersects,8,"PR.AA-04.01: Access credential and authorization mechanisms for internal systems and across security perimeters (e.g., leveraging directory services, directory synchronization, single sign-on, federated access, credential mapping, etc.) are designed to maintain security, integrity, and authenticity.","PROTECT / Identity Management, Authentication, and Access Control / Identity Assertions",PR.AA-04.01
HK-SFC-2.01,2. Infrastructure security management,2.1 Deploy a secure network infrastructure,"A licensed or registered person should deploy a secure network infrastructure through proper network segmentation, ie, a Demilitarised Zone (DMZ) with multi-tiered firewalls, to protect critical systems (eg, internet trading system and settlement system) and client data against cyber-attacks.",Functional,superset,9,"PR.IR-01.01: Networks, systems, and external connections are segmented (e.g., using firewalls, software-defined networks, guest wireless networks, etc.) to implement defense-in-depth and access isolation principles.",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.01
HK-SFC-2.01,2. Infrastructure security management,2.1 Deploy a secure network infrastructure,"A licensed or registered person should deploy a secure network infrastructure through proper network segmentation, ie, a Demilitarised Zone (DMZ) with multi-tiered firewalls, to protect critical systems (eg, internet trading system and settlement system) and client data against cyber-attacks.",Functional,superset,9,"PR.IR-01.02: Network device configurations (e.g., firewall rules, ports, and protocols) are documented, reviewed and updated regularly and upon change to ensure alignment with network access, segmentation, traversal, and deny-all default requirements.",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.02
HK-SFC-2.01,2. Infrastructure security management,2.1 Deploy a secure network infrastructure,"A licensed or registered person should deploy a secure network infrastructure through proper network segmentation, ie, a Demilitarised Zone (DMZ) with multi-tiered firewalls, to protect critical systems (eg, internet trading system and settlement system) and client data against cyber-attacks.",Functional,superset,9,"PR.IR-01.03: The integrity and resilience of the organization's communications and control network services are enhanced through controls such as denial of service protections, secure name/address resolution, and/or alternate communications paths.",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.03
HK-SFC-2.01,2. Infrastructure security management,2.1 Deploy a secure network infrastructure,"A licensed or registered person should deploy a secure network infrastructure through proper network segmentation, ie, a Demilitarised Zone (DMZ) with multi-tiered firewalls, to protect critical systems (eg, internet trading system and settlement system) and client data against cyber-attacks.",Functional,intersects,8,"PR.IR-01.04: The organization controls access to its wireless networks and the information that these networks process by implementing appropriate mechanisms (e.g., strong authentication for authentication and transmission, preventing unauthorized devices from connecting to the internal networks, restricting unauthorized traffic, and segregating guest wireless networks).",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.04
HK-SFC-2.01,2. Infrastructure security management,2.1 Deploy a secure network infrastructure,"A licensed or registered person should deploy a secure network infrastructure through proper network segmentation, ie, a Demilitarised Zone (DMZ) with multi-tiered firewalls, to protect critical systems (eg, internet trading system and settlement system) and client data against cyber-attacks.",Functional,intersects,8,PR.IR-01.06: The organization's production and non-production environments and data are segregated and managed to prevent unauthorized access or changes to the information assets.,PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.06
HK-SFC-2.01,2. Infrastructure security management,2.1 Deploy a secure network infrastructure,"A licensed or registered person should deploy a secure network infrastructure through proper network segmentation, ie, a Demilitarised Zone (DMZ) with multi-tiered firewalls, to protect critical systems (eg, internet trading system and settlement system) and client data against cyber-attacks.",Functional,intersects,8,"PR.IR-01.08: The organization implements policies, procedures, end-user agreements, and technical controls to address the risks of end-user mobile or personal computing devices accessing the organization's network and resources.",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.08
HK-SFC-2.01,2. Infrastructure security management,2.1 Deploy a secure network infrastructure,"A licensed or registered person should deploy a secure network infrastructure through proper network segmentation, ie, a Demilitarised Zone (DMZ) with multi-tiered firewalls, to protect critical systems (eg, internet trading system and settlement system) and client data against cyber-attacks.",Functional,intersects,8,PR.IR-04.01: Baseline measures of network and system utilization and transaction activity are captured to support capacity planning and anomalous activity detection.,PROTECT / Technology Infrastructure Resilience / Capacity Management,PR.IR-04.01
