,"Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping",,
HKMA Cyber Resilience Assessment Framework (C-RAF) 2.0,HKMA Cyber Resilience Assessment Framework (C-RAF) 2.0,HKMA Cyber Resilience Assessment Framework (C-RAF) 2.0,Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
C-RAF Domain / Component / Subcomponent,Level,C-RAF Statement,Rationale,Relationship,ACS,FCS,CRI Profile Statement,Profile Function / Category / Subcategory,Outline Id
Domain 4 Detection / 4.1 Vulnerability detection / 4.1.2 Penetration / Simulation Testing,Advanced,4.1.2.7: A process is in place to conduct vulnerability scanning across endpoints on a risk-based approach.,Semantic,Subset of,10,10,"ID.RA-01.03: The organization establishes and maintains standards and capabilities for ongoing vulnerability management, including systematic scans, or reviews reasonably designed to identify known cyber vulnerabilities and upgrade opportunities, across the organization's environments and assets.",IDENTIFY / Risk Assessment / Asset Vulnerability Identification,055.113
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.1 Log monitoring and analysis,Baseline,4.2.1.1: Logs of physical and/or logical access are reviewed following events.,Semantic,Intersects with,9,10,"DE.CM-02.01: The organization's controls include monitoring and detection of anomalous activities and potential intrusion events across the organization's physical environment and infrastructure, including the detection of environmental threats (fire, water, service outages, etc.) and unauthorized physical access to high-risk system components and locations.",DETECT / Continuous Monitoring / Physical Environment Monitoring,100.242
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.1 Log monitoring and analysis,Baseline,4.2.1.1: Logs of physical and/or logical access are reviewed following events.,Semantic,Intersects with,9,10,"RS.AN-03.01: The organization performs a thorough investigation to determine the nature and scope of an event, possible root causes, and the potential damage inflicted.",RESPOND / Incident Analysis / Incident Analysis & Root Cause Determination,119.265
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.1 Log monitoring and analysis,Baseline,4.2.1.2: Access to critical systems by third parties is monitored.,Semantic,Subset of,9,10,"PR.AA-05.04: Specific roles, responsibilities, and procedures to manage the risk of third-party access to organizational systems and facilities are defined and implemented.","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",074.172
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.1 Log monitoring and analysis,Baseline,4.2.1.2: Access to critical systems by third parties is monitored.,Semantic,Intersects with,8,10,"DE.CM-06.01: The organization reviews, documents, authorizes, and monitors all third-party connections, data transfer mechanisms, and Application Programming Interfaces (APIs).",DETECT / Continuous Monitoring / Service Provider Monitoring,102.246
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.1 Log monitoring and analysis,Baseline,4.2.1.2: Access to critical systems by third parties is monitored.,Semantic,Subset of,9,10,DE.CM-06.02: The organization implements an explicit approval and logging process and sets up automated alerts to monitor and prevent any unauthorized access to a critical system by a third-party service provider.,DETECT / Continuous Monitoring / Service Provider Monitoring,102.247
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.1 Log monitoring and analysis,Baseline,4.2.1.3: Activities performed by privileged IDs are monitored.,Semantic,Equal,10,10,"DE.CM-03.03: The organization logs and reviews the activities of privileged users and accounts, and monitoring for anomalous behaviors is implemented.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,101.245
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.1 Log monitoring and analysis,Baseline,4.2.1.4: Time synchronisation with a centralised and secure time source (such as an NTP server) is in place for the production environment.,Semantic,Equal,10,10,"PR.PS-01.04: The organization documents its requirements for accurate and resilient time services (e.g., synchronization to a mandated or appropriate authoritative time source) and adopts best practice guidance in implementing and using these services for logging, event correlation, forensic analysis, authentication, transactional processing, and other purposes.",PROTECT / Platform Security / Configuration Management,085.196
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.1 Log monitoring and analysis,Baseline,"4.2.1.5: Systems or devices are in place to detect anomalous behaviour by customers, employees, and third-parties during the authentication process.",Semantic,Subset of,9,10,"DE.CM-03.02: The organization's controls actively monitor personnel (both authorized and unauthorized) for access, authentication, usage, connections, devices, and anomalous behavior to rapidly detect potential cybersecurity events.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,101.244
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.1 Log monitoring and analysis,Baseline,"4.2.1.5: Systems or devices are in place to detect anomalous behaviour by customers, employees, and third-parties during the authentication process.",Semantic,Subset of,9,10,DE.CM-06.02: The organization implements an explicit approval and logging process and sets up automated alerts to monitor and prevent any unauthorized access to a critical system by a third-party service provider.,DETECT / Continuous Monitoring / Service Provider Monitoring,102.247
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.1 Log monitoring and analysis,Baseline,"4.2.1.6: Based on a risk-based approach, audit log records and other security event logs are reviewed regularly and retained securely.",Semantic,Intersects with,9,10,"PR.PS-04.01: The organization establishes and regularly reviews log management standards and practices, to include the types of events to be detected, log content, security and access considerations, monitoring protocols, integrity checking mechanisms, and retention periods.",PROTECT / Platform Security / Log Record Generation,088.206
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.1 Log monitoring and analysis,Baseline,"4.2.1.6: Based on a risk-based approach, audit log records and other security event logs are reviewed regularly and retained securely.",Semantic,Intersects with,9,10,"PR.PS-04.03: The organization's activity logs and other security event logs are generated, reviewed, securely stored, and retained in accordance with data retention obligations and established standards.",PROTECT / Platform Security / Log Record Generation,088.208
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.1 Log monitoring and analysis,Baseline,4.2.1.7: Logs are available that provide traceability for all system access by individual users.,Semantic,Intersects with,8,10,"PR.AA-02.01: The organization authenticates identity, validates the authorization level of a user before granting access to its systems, limits the use of an account to a single individual, and attributes activities to the user in logs and transactions.","PROTECT / Identity Management, Authentication, and Access Control / Identity Binding to Credentials",071.164
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.1 Log monitoring and analysis,Baseline,4.2.1.7: Logs are available that provide traceability for all system access by individual users.,Semantic,Subset of,9,10,"DE.CM-03.01: Account access, authentication, and authorization activities are logged and monitored, for both users and devices, to enforce authorized access.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,101.243
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.1 Log monitoring and analysis,Baseline,4.2.1.7: Logs are available that provide traceability for all system access by individual users.,Semantic,Intersects with,9,10,"DE.CM-03.02: The organization's controls actively monitor personnel (both authorized and unauthorized) for access, authentication, usage, connections, devices, and anomalous behavior to rapidly detect potential cybersecurity events.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,101.244
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.1 Log monitoring and analysis,Baseline,4.2.1.8: Logging practices and thresholds for security logging are reviewed periodically to ensure that appropriate log management is in place.,Semantic,Subset of,10,10,"PR.PS-04.01: The organization establishes and regularly reviews log management standards and practices, to include the types of events to be detected, log content, security and access considerations, monitoring protocols, integrity checking mechanisms, and retention periods.",PROTECT / Platform Security / Log Record Generation,088.206
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.1 Log monitoring and analysis,Baseline,4.2.1.8: Logging practices and thresholds for security logging are reviewed periodically to ensure that appropriate log management is in place.,Semantic,Intersects with,9,10,"PR.PS-04.02: The organization defines the scope and coverage of audit/log records to be created and monitored (i.e., internal and external environments, devices, and applications/services/software to be monitored) and has controls in place to ensure that the intended scope is fully covered and that no logging failures are inhibiting the collection of required logs.",PROTECT / Platform Security / Log Record Generation,088.207
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.1 Log monitoring and analysis,Intermediate,4.2.1.9: Audit logs are backed up to a centralised log server or media to prevent unauthorised changes to the logs.,Semantic,Subset of,10,10,"PR.PS-04.03: The organization's activity logs and other security event logs are generated, reviewed, securely stored, and retained in accordance with data retention obligations and established standards.",PROTECT / Platform Security / Log Record Generation,088.208
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Baseline,4.2.2.1: A process is in place to detect anomalous activities through monitoring across the environment.,Semantic,Subset of,9,10,PR.IR-04.01: Baseline measures of network and system utilization and transaction activity are captured to support capacity planning and anomalous activity detection.,PROTECT / Technology Infrastructure Resilience / Capacity Management,096.234
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Baseline,4.2.2.1: A process is in place to detect anomalous activities through monitoring across the environment.,Semantic,Subset of,9,10,DE.CM-01.01:  The organization deploys intrusion detection and intrusion prevention capabilities to detect and prevent a potential network intrusion in its early stages for timely containment and recovery.,DETECT / Continuous Monitoring / Network Monitoring,099.236
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Baseline,4.2.2.1: A process is in place to detect anomalous activities through monitoring across the environment.,Semantic,Subset of,9,10,"DE.CM-01.02: The organization implements mechanisms, such as alerting and filtering of sudden high volumes and suspicious incoming traffic, to detect and mitigate Denial of Service, ""bot"", and credential stuffing attacks.",DETECT / Continuous Monitoring / Network Monitoring,099.237
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Baseline,4.2.2.1: A process is in place to detect anomalous activities through monitoring across the environment.,Semantic,Subset of,9,10,"DE.CM-01.03: The organization has policies, procedures, and tools in place to monitor for, detect, and block unauthorized network connections and data transfers.",DETECT / Continuous Monitoring / Network Monitoring,099.238
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Baseline,4.2.2.1: A process is in place to detect anomalous activities through monitoring across the environment.,Semantic,Subset of,9,10,"DE.CM-01.04: The organization has policies, procedures, and tools in place to monitor for, detect, and block access from/to devices that are not authorized or do not conform to security policy (e.g., unpatched systems).",DETECT / Continuous Monitoring / Network Monitoring,099.239
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Baseline,4.2.2.1: A process is in place to detect anomalous activities through monitoring across the environment.,Semantic,Subset of,9,10,"DE.CM-01.06: The organization employs deception techniques and technologies (e.g., honeypots) to detect and prevent a potential intrusion in its early stages to support timely containment and recovery.",DETECT / Continuous Monitoring / Network Monitoring,099.241
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Baseline,4.2.2.1: A process is in place to detect anomalous activities through monitoring across the environment.,Semantic,Subset of,9,10,"DE.CM-02.01: The organization's controls include monitoring and detection of anomalous activities and potential intrusion events across the organization's physical environment and infrastructure, including the detection of environmental threats (fire, water, service outages, etc.) and unauthorized physical access to high-risk system components and locations.",DETECT / Continuous Monitoring / Physical Environment Monitoring,100.242
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Baseline,4.2.2.1: A process is in place to detect anomalous activities through monitoring across the environment.,Semantic,Subset of,9,10,"DE.CM-03.02: The organization's controls actively monitor personnel (both authorized and unauthorized) for access, authentication, usage, connections, devices, and anomalous behavior to rapidly detect potential cybersecurity events.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,101.244
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Baseline,4.2.2.1: A process is in place to detect anomalous activities through monitoring across the environment.,Semantic,Subset of,9,10,"DE.CM-03.03: The organization logs and reviews the activities of privileged users and accounts, and monitoring for anomalous behaviors is implemented.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,101.245
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Baseline,4.2.2.1: A process is in place to detect anomalous activities through monitoring across the environment.,Semantic,Subset of,9,10,"DE.CM-06.01: The organization reviews, documents, authorizes, and monitors all third-party connections, data transfer mechanisms, and Application Programming Interfaces (APIs).",DETECT / Continuous Monitoring / Service Provider Monitoring,102.246
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Baseline,4.2.2.1: A process is in place to detect anomalous activities through monitoring across the environment.,Semantic,Subset of,9,10,DE.CM-06.02: The organization implements an explicit approval and logging process and sets up automated alerts to monitor and prevent any unauthorized access to a critical system by a third-party service provider.,DETECT / Continuous Monitoring / Service Provider Monitoring,102.247
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Baseline,4.2.2.1: A process is in place to detect anomalous activities through monitoring across the environment.,Semantic,Subset of,9,10,"DE.CM-09.03: The organization has policies, procedures, and tools in place to monitor for, detect, and block the use of unsupported or unauthorized software, hardware, or configuration changes.","DETECT / Continuous Monitoring / Hardware, Software, & Data Monitoring",103.250
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Baseline,4.2.2.1: A process is in place to detect anomalous activities through monitoring across the environment.,Semantic,Subset of,9,10,"DE.AE-03.01: The organization implements systematic and real-time logging, collection, monitoring, detection, and alerting measures across multiple layers of the organization's infrastructure, including physical perimeters, network, operating systems, applications, data, and external (cloud and outsourced) environments, sufficient to protect the organization's information assets.",DETECT / Adverse Event Analysis / Event Information Correlation,106.253
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Baseline,4.2.2.1: A process is in place to detect anomalous activities through monitoring across the environment.,Semantic,Subset of,9,10,"DE.AE-03.02: The organization performs real-time central analysis, aggregation, and correlation of anomalous activities, network and system alerts, and relevant event and cyber threat intelligence, including both internal and external (cloud and outsourced) environments, to better detect and prevent multifaceted cyber attacks.",DETECT / Adverse Event Analysis / Event Information Correlation,106.254
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Baseline,4.2.2.2: Thresholds have been established to determine activity within logs that warrant management response.,Semantic,Subset of,10,10,"DE.AE-02.02: The organization establishes, documents, and regularly reviews event alert parameters and thresholds, as well as rule-based triggers to support automated responses, when known attack patterns, signatures or behaviors are detected.",DETECT / Adverse Event Analysis / Potentially Adverse Event Analysis,105.252
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Intermediate,"4.2.2.3: Tools to detect unauthorised data mining (e.g. network traffic sniffer, data loss prevention tools, etc.) are installed.",Semantic,Subset of,9,10,PR.DS-01.02: The organization implements data loss identification and prevention tools to monitor and protect against confidential data theft or destruction by an employee or an external actor.,PROTECT / Data Security / Protection of Data at Rest,080.188
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Intermediate,"4.2.2.3: Tools to detect unauthorised data mining (e.g. network traffic sniffer, data loss prevention tools, etc.) are installed.",Semantic,Subset of,9,10,"PR.DS-01.03: The organization defines and implements controls for the protection and use of removable media (e.g., access/use restrictions, encryption, malware scanning, data loss prevention, etc.)",PROTECT / Data Security / Protection of Data at Rest,080.189
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Intermediate,"4.2.2.3: Tools to detect unauthorised data mining (e.g. network traffic sniffer, data loss prevention tools, etc.) are installed.",Semantic,Subset of,9,10,"DE.CM-01.03: The organization has policies, procedures, and tools in place to monitor for, detect, and block unauthorized network connections and data transfers.",DETECT / Continuous Monitoring / Network Monitoring,099.238
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Intermediate,4.2.2.4: Tools actively monitor security logs for anomalous behaviour and provide alerts within established parameters.,Semantic,Subset of,9,10,"DE.CM-02.01: The organization's controls include monitoring and detection of anomalous activities and potential intrusion events across the organization's physical environment and infrastructure, including the detection of environmental threats (fire, water, service outages, etc.) and unauthorized physical access to high-risk system components and locations.",DETECT / Continuous Monitoring / Physical Environment Monitoring,100.242
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Intermediate,4.2.2.4: Tools actively monitor security logs for anomalous behaviour and provide alerts within established parameters.,Semantic,Subset of,9,10,"DE.AE-03.01: The organization implements systematic and real-time logging, collection, monitoring, detection, and alerting measures across multiple layers of the organization's infrastructure, including physical perimeters, network, operating systems, applications, data, and external (cloud and outsourced) environments, sufficient to protect the organization's information assets.",DETECT / Adverse Event Analysis / Event Information Correlation,106.253
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Intermediate,4.2.2.5: Processes are in place to monitor potential and unusual insider activities that could lead to data theft or destruction.,Semantic,Subset of,9,10,"GV.RR-04.03: The organization integrates insider threat considerations into its human resource, risk management, and control programs to address the potential for malicious or unintentional harm by trusted employees or third parties.","GOVERN / Roles, Responsibilities, and Authorities / Human Resource Practices",022.058
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Intermediate,4.2.2.5: Processes are in place to monitor potential and unusual insider activities that could lead to data theft or destruction.,Semantic,Intersects with,9,10,"DE.CM-03.02: The organization's controls actively monitor personnel (both authorized and unauthorized) for access, authentication, usage, connections, devices, and anomalous behavior to rapidly detect potential cybersecurity events.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,101.244
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Intermediate,4.2.2.5: Processes are in place to monitor potential and unusual insider activities that could lead to data theft or destruction.,Semantic,Intersects with,9,10,"DE.CM-03.03: The organization logs and reviews the activities of privileged users and accounts, and monitoring for anomalous behaviors is implemented.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,101.245
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Intermediate,4.2.2.6: Security audit logs for key systems and endpoints should be readily available for review (e.g. within SIEM) which cover an adequate period for incident response investigation.,Semantic,Subset of,9,10,"PR.PS-04.01: The organization establishes and regularly reviews log management standards and practices, to include the types of events to be detected, log content, security and access considerations, monitoring protocols, integrity checking mechanisms, and retention periods.",PROTECT / Platform Security / Log Record Generation,088.206
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Intermediate,4.2.2.6: Security audit logs for key systems and endpoints should be readily available for review (e.g. within SIEM) which cover an adequate period for incident response investigation.,Semantic,Subset of,9,10,"PR.PS-04.02: The organization defines the scope and coverage of audit/log records to be created and monitored (i.e., internal and external environments, devices, and applications/services/software to be monitored) and has controls in place to ensure that the intended scope is fully covered and that no logging failures are inhibiting the collection of required logs.",PROTECT / Platform Security / Log Record Generation,088.207
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Intermediate,4.2.2.6: Security audit logs for key systems and endpoints should be readily available for review (e.g. within SIEM) which cover an adequate period for incident response investigation.,Semantic,Subset of,9,10,"PR.PS-04.03: The organization's activity logs and other security event logs are generated, reviewed, securely stored, and retained in accordance with data retention obligations and established standards.",PROTECT / Platform Security / Log Record Generation,088.208
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Advanced,4.2.2.7: Alerts for anomalous activities and other network and system alerts are correlated across business units to detect and prevent multi-faceted attacks (e.g. a simultaneous account takeover and DDoS attack).,Semantic,Subset of,10,10,"DE.AE-03.02: The organization performs real-time central analysis, aggregation, and correlation of anomalous activities, network and system alerts, and relevant event and cyber threat intelligence, including both internal and external (cloud and outsourced) environments, to better detect and prevent multifaceted cyber attacks.",DETECT / Adverse Event Analysis / Event Information Correlation,106.254
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Advanced,"4.2.2.8: A system is in place to monitor and analyse employee behaviour (e.g. network use patterns, work hours, and known devices) and provide alerts for anomalous activities.",Semantic,Subset of,9,10,"GV.RR-04.03: The organization integrates insider threat considerations into its human resource, risk management, and control programs to address the potential for malicious or unintentional harm by trusted employees or third parties.","GOVERN / Roles, Responsibilities, and Authorities / Human Resource Practices",022.058
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Advanced,"4.2.2.8: A system is in place to monitor and analyse employee behaviour (e.g. network use patterns, work hours, and known devices) and provide alerts for anomalous activities.",Semantic,Intersects with,9,10,"DE.CM-03.02: The organization's controls actively monitor personnel (both authorized and unauthorized) for access, authentication, usage, connections, devices, and anomalous behavior to rapidly detect potential cybersecurity events.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,101.244
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Advanced,"4.2.2.8: A system is in place to monitor and analyse employee behaviour (e.g. network use patterns, work hours, and known devices) and provide alerts for anomalous activities.",Semantic,Intersects with,9,10,"DE.CM-03.03: The organization logs and reviews the activities of privileged users and accounts, and monitoring for anomalous behaviors is implemented.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,101.245
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Advanced,4.2.2.9: Measures for monitoring sensitive data or files have been implemented to prevent losses.,Semantic,Intersects with,9,10,"PR.DS-01.01: Data-at-rest is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, segregation, masking, tokenization, and file integrity monitoring).",PROTECT / Data Security / Protection of Data at Rest,080.187
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Advanced,4.2.2.9: Measures for monitoring sensitive data or files have been implemented to prevent losses.,Semantic,Superset of,9,10,PR.DS-01.02: The organization implements data loss identification and prevention tools to monitor and protect against confidential data theft or destruction by an employee or an external actor.,PROTECT / Data Security / Protection of Data at Rest,080.188
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Advanced,4.2.2.10: Technical measures apply defence-in-depth techniques for detection and timely response to network-based attacks associated with anomalous ingress or egress traffic patterns and/or DDoS attacks.,Semantic,Intersects with,8,10,PR.IR-04.01: Baseline measures of network and system utilization and transaction activity are captured to support capacity planning and anomalous activity detection.,PROTECT / Technology Infrastructure Resilience / Capacity Management,096.234
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Advanced,4.2.2.10: Technical measures apply defence-in-depth techniques for detection and timely response to network-based attacks associated with anomalous ingress or egress traffic patterns and/or DDoS attacks.,Semantic,Intersects with,9,10,DE.CM-01.01:  The organization deploys intrusion detection and intrusion prevention capabilities to detect and prevent a potential network intrusion in its early stages for timely containment and recovery.,DETECT / Continuous Monitoring / Network Monitoring,099.236
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Advanced,4.2.2.10: Technical measures apply defence-in-depth techniques for detection and timely response to network-based attacks associated with anomalous ingress or egress traffic patterns and/or DDoS attacks.,Semantic,Intersects with,9,10,"DE.CM-01.02: The organization implements mechanisms, such as alerting and filtering of sudden high volumes and suspicious incoming traffic, to detect and mitigate Denial of Service, ""bot"", and credential stuffing attacks.",DETECT / Continuous Monitoring / Network Monitoring,099.237
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Advanced,4.2.2.10: Technical measures apply defence-in-depth techniques for detection and timely response to network-based attacks associated with anomalous ingress or egress traffic patterns and/or DDoS attacks.,Semantic,Subset of,9,10,"DE.CM-01.03: The organization has policies, procedures, and tools in place to monitor for, detect, and block unauthorized network connections and data transfers.",DETECT / Continuous Monitoring / Network Monitoring,099.238
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.2 Security information and event management,Advanced,4.2.2.10: Technical measures apply defence-in-depth techniques for detection and timely response to network-based attacks associated with anomalous ingress or egress traffic patterns and/or DDoS attacks.,Semantic,Intersects with,8,10,"DE.CM-01.06: The organization employs deception techniques and technologies (e.g., honeypots) to detect and prevent a potential intrusion in its early stages to support timely containment and recovery.",DETECT / Continuous Monitoring / Network Monitoring,099.241
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.3 Customer transaction monitoring,Baseline,4.2.3.1: Customer transactions generating anomalous activity alerts are monitored and reviewed.,Semantic,No relationship,0,0,None - Out of Scope,,
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.3 Customer transaction monitoring,Baseline,4.2.3.2: Online customer transactions are actively monitored for anomalous behaviour.,Semantic,no relationship,0,0,None - Out of Scope,,
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.3 Customer transaction monitoring,Intermediate,4.2.3.3: An automated tool triggers system alerts and/or fraud alerts when customer logins occur within a short period of time but from physically distant IP locations.,Semantic,No relationship,0,0,None - Out of Scope,,
Domain 4 Detection / 4.2 Anomalies activity detection / 4.2.3 Customer transaction monitoring,Advanced,4.2.3.4: External transfers from customer accounts generate alerts and require review and authorisation if anomalous behaviour is detected.,Semantic,No relationship,0,0,None - Out of Scope,,
Domain 4 Detection / 4.3 Cyber incident detection / 4.3.1 Event monitoring,Baseline,"4.3.1.1: Processes are in place to monitor for the presence of unauthorised users, devices, connections, and software in both physical and logical environments.",Semantic,Intersects with,9,10,"PR.AA-06.02: The organization manages and protects physical and visual access to sensitive information assets and physical records (e.g., session lockout, clean desk policies, printer/facsimile output trays, file cabinet/room security, document labelling, etc.)","PROTECT / Identity Management, Authentication, and Access Control / Physical Access",075.174
Domain 4 Detection / 4.3 Cyber incident detection / 4.3.1 Event monitoring,Baseline,"4.3.1.1: Processes are in place to monitor for the presence of unauthorised users, devices, connections, and software in both physical and logical environments.",Semantic,Intersects with,9,10,"DE.CM-01.03: The organization has policies, procedures, and tools in place to monitor for, detect, and block unauthorized network connections and data transfers.",DETECT / Continuous Monitoring / Network Monitoring,099.238
Domain 4 Detection / 4.3 Cyber incident detection / 4.3.1 Event monitoring,Baseline,"4.3.1.1: Processes are in place to monitor for the presence of unauthorised users, devices, connections, and software in both physical and logical environments.",Semantic,Intersects with,9,10,"DE.CM-01.04: The organization has policies, procedures, and tools in place to monitor for, detect, and block access from/to devices that are not authorized or do not conform to security policy (e.g., unpatched systems).",DETECT / Continuous Monitoring / Network Monitoring,099.239
Domain 4 Detection / 4.3 Cyber incident detection / 4.3.1 Event monitoring,Baseline,"4.3.1.1: Processes are in place to monitor for the presence of unauthorised users, devices, connections, and software in both physical and logical environments.",Semantic,Intersects with,9,10,"DE.CM-03.02: The organization's controls actively monitor personnel (both authorized and unauthorized) for access, authentication, usage, connections, devices, and anomalous behavior to rapidly detect potential cybersecurity events.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,101.244
Domain 4 Detection / 4.3 Cyber incident detection / 4.3.1 Event monitoring,Baseline,"4.3.1.1: Processes are in place to monitor for the presence of unauthorised users, devices, connections, and software in both physical and logical environments.",Semantic,Intersects with,9,10,"DE.CM-09.03: The organization has policies, procedures, and tools in place to monitor for, detect, and block the use of unsupported or unauthorized software, hardware, or configuration changes.","DETECT / Continuous Monitoring / Hardware, Software, & Data Monitoring",103.250
Domain 4 Detection / 4.3 Cyber incident detection / 4.3.1 Event monitoring,Baseline,4.3.1.2: Responsibilities for monitoring and reporting suspicious systems activities have been assigned.,Semantic,Subset of,10,10,"GV.RR-02.02: The organization has established and assigned roles and responsibilities for systematic cybersecurity threat identification, monitoring, detection, and event reporting processes, and ensures adequate coverage and organizational alignment for these functions.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",020.047
Domain 4 Detection / 4.3 Cyber incident detection / 4.3.1 Event monitoring,Baseline,4.3.1.3: The physical environment is monitored to detect potential unauthorised access.,Semantic,Subset of,9,10,"PR.AA-06.02: The organization manages and protects physical and visual access to sensitive information assets and physical records (e.g., session lockout, clean desk policies, printer/facsimile output trays, file cabinet/room security, document labelling, etc.)","PROTECT / Identity Management, Authentication, and Access Control / Physical Access",075.174
