,"Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping",,
HKMA Cyber Resilience Assessment Framework (C-RAF) 2.0,HKMA Cyber Resilience Assessment Framework (C-RAF) 2.0,HKMA Cyber Resilience Assessment Framework (C-RAF) 2.0,Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
C-RAF Domain / Component / Subcomponent,Level,C-RAF Statement,Rationale,Relationship,ACS,FCS,CRI Profile Statement,Profile Function / Category / Subcategory,Outline Id
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.2 Budgeting process,Intermediate,1.1.2.3: The Board or appropriate Board Committee reviews and approves management’s prioritisation and resource allocation decisions based on the results of the cyber risk assessments.,Semantic,Subset of,10,10,"GV.RR-03.01: The organization's budgeting and resourcing processes identify, prioritize, and address resource needs to manage identified technology and cybersecurity risks (e.g., skill shortages, headcount, new tools, incident-related expenses, and unsupported systems).","GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy",021.053
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.2 Budgeting process,Advanced,1.1.2.4: The budgeting process for requesting additional cybersecurity staff and tools is integrated into business units’ budgeting processes.,Semantic,Subset of,9,10,"GV.RR-03.01: The organization's budgeting and resourcing processes identify, prioritize, and address resource needs to manage identified technology and cybersecurity risks (e.g., skill shortages, headcount, new tools, incident-related expenses, and unsupported systems).","GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy",021.053
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.2 Budgeting process,Advanced,1.1.2.4: The budgeting process for requesting additional cybersecurity staff and tools is integrated into business units’ budgeting processes.,Semantic,Intersects with,9,10,GV.RR-03.02: The organization regularly assesses its skill and resource level requirements against its current personnel complement to determine gaps in resource need.,"GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy",021.054
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.2 Budgeting process,Advanced,"1.1.2.5: The budgeting process for requesting additional cybersecurity resources, staff and tools are in line with the current resources and tools of the cybersecurity strategy.",Semantic,Subset of,9,10,"GV.RM-01.05: The organization's technology, cybersecurity, resilience, and third-party risk management programs, policies, resources, and priorities are aligned and mutually supporting.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,009.019
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.2 Budgeting process,Advanced,"1.1.2.5: The budgeting process for requesting additional cybersecurity resources, staff and tools are in line with the current resources and tools of the cybersecurity strategy.",Semantic,Subset of,9,10,"GV.RR-03.01: The organization's budgeting and resourcing processes identify, prioritize, and address resource needs to manage identified technology and cybersecurity risks (e.g., skill shortages, headcount, new tools, incident-related expenses, and unsupported systems).","GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy",021.053
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.3 Regular reporting,Baseline,1.1.3.1: Management provides a written report on the overall status of the cybersecurity (including cyber incidents) and business continuity programmes to the Board or an appropriate Board Committee at least annually.,Semantic,Intersects with,9,10,"GV.OV-01.02: The designated Cybersecurity Officer (e.g., CISO) periodically reports to the appropriate governing authority (e.g., the Board or one of its committees) or equivalent governing body on the status of cybersecurity within the organization.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,027.069
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.3 Regular reporting,Baseline,1.1.3.1: Management provides a written report on the overall status of the cybersecurity (including cyber incidents) and business continuity programmes to the Board or an appropriate Board Committee at least annually.,Semantic,Intersects with,9,10,"GV.OV-03.01: The organization develops, implements, and reports to management and the governing body (e.g., the Board or one of its committees) key technology and cybersecurity risk and performance indicators and metrics to measure, monitor, and report actionable indicators.",GOVERN / Oversight / Risk Management Performance Measurement,029.073
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.3 Regular reporting,Baseline,1.1.3.1: Management provides a written report on the overall status of the cybersecurity (including cyber incidents) and business continuity programmes to the Board or an appropriate Board Committee at least annually.,Semantic,Intersects with,9,10,"GV.OV-03.02: Resilience program performance is measured and regularly reported to senior executives and the governing authority (e.g., the Board or one of its committees).",GOVERN / Oversight / Risk Management Performance Measurement,029.074
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.3 Regular reporting,Intermediate,1.1.3.2: Management provides a written report on the overall status of the cybersecurity (including cyber incidents) and business continuity programmes to the Board or an appropriate Board Committee at least quarterly.,Semantic,Superset of,9,10,"GV.OV-01.02: The designated Cybersecurity Officer (e.g., CISO) periodically reports to the appropriate governing authority (e.g., the Board or one of its committees) or equivalent governing body on the status of cybersecurity within the organization.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,027.069
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.3 Regular reporting,Intermediate,1.1.3.2: Management provides a written report on the overall status of the cybersecurity (including cyber incidents) and business continuity programmes to the Board or an appropriate Board Committee at least quarterly.,Semantic,Superset of,9,10,"GV.OV-03.01: The organization develops, implements, and reports to management and the governing body (e.g., the Board or one of its committees) key technology and cybersecurity risk and performance indicators and metrics to measure, monitor, and report actionable indicators.",GOVERN / Oversight / Risk Management Performance Measurement,029.073
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.3 Regular reporting,Advanced,1.1.3.3: The standard Board meeting package includes reports and metrics that go beyond events and incidents and are able to address the cyber threat trends and AI’s cybersecurity posture.,Semantic,Equal,10,10,"GV.OV-03.01: The organization develops, implements, and reports to management and the governing body (e.g., the Board or one of its committees) key technology and cybersecurity risk and performance indicators and metrics to measure, monitor, and report actionable indicators.",GOVERN / Oversight / Risk Management Performance Measurement,029.073
Domain 1 Governance / 1.2 Strategies and policies / 1.2.1 Strategy and programme,Baseline,"1.2.1.1: A cybersecurity strategy is in place to mitigate cyber risk by integrating technology, policies, procedures, and training.",Semantic,Subset of,9,10,"GV.OC-01.01: Technology and cybersecurity strategies, architectures, and programs are formally governed to align with and support the organization's mission, objectives, priorities, tactical initiatives, and risk profile.",GOVERN / Organizational Context / Organizational Mission,003.001
Domain 1 Governance / 1.2 Strategies and policies / 1.2.1 Strategy and programme,Baseline,"1.2.1.1: A cybersecurity strategy is in place to mitigate cyber risk by integrating technology, policies, procedures, and training.",Semantic,Subset of,9,10,"GV.RM-01.01: Technology and cybersecurity risk management strategies and frameworks are approved by the governing authority (e.g., the Board or one of its committees) and incorporated into the overall business strategy and enterprise risk management framework.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,009.015
