CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,,
010.022,DS,GV.RM-02.03,GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,"GV.RM-02.03: Determination of the organization's risk appetite and tolerance includes consideration of the organization's stakeholder obligations, role in critical infrastructure, and sector-specific risk analysis.",Yes,Yes,Yes,No,"GV.RM-02
","DORA Level 1 (2), EBA (2), ECB CROE (1), FFIEC CAT (1), NYDFS Part 500 (1), OCC CSWP (2), OSFI B-13 (1)"
011,S,GV.RM-03,GOVERN / Risk Management Strategy / Enterprise Risk Integration,GV.RM-03: Technology and cybersecurity risk management activities and outcomes are included in enterprise risk management processes,,,,,"GV.RM-03
(CRI Modified)",
011.023,DS,GV.RM-03.01,GOVERN / Risk Management Strategy / Enterprise Risk Integration,GV.RM-03.01: Technology and cybersecurity risk management frameworks and programs are integrated into the enterprise risk management framework.,Yes,Yes,Yes,Yes,"GV.RM-03
","APRA CPG 234 (1), APRA CPS 234 (1), ASIC (1), DORA Level 1 (3), EBA (1), ECB CROE (3), FFIEC AIO (1), FFIEC CAT (2), HKMA C-RAF (3), NYDFS Part 500 (2), OCC CSWP (1), OSFI B-13 (2), OSFI CSSA (1), SEC Aug 2023 (1)"
011.024,DS,GV.RM-03.02,GOVERN / Risk Management Strategy / Enterprise Risk Integration,GV.RM-03.02: The organization's business continuity and resilience strategy and program align with and support the overall enterprise risk management framework.,Yes,Yes,No,No,"GV.RM-03
","APRA CPG 234 (1), DORA Level 1 (6), EBA (2), FFIEC AIO (2), FFIEC BCM (3), FFIEC CAT (1), HKMA C-RAF (1)"
011.025,DS,GV.RM-03.03,GOVERN / Risk Management Strategy / Enterprise Risk Integration,"GV.RM-03.03: Technology and cybersecurity risk management and risk assessment processes are consistent with the organization's enterprise risk management policies, procedures, and methodologies and include criteria for the evaluation and categorization of enterprise-specific risks and threats.",Yes,Yes,Yes,No,"GV.RM-03
","APRA CPG 234 (1), ASIC (1), DORA Level 1 (3), ECB CROE (2), FFIEC AIO (1), FFIEC BCM (1), FFIEC CAT (1), FFIEC DAM (2), HKMA C-RAF (4), MAS (1), NYDFS Part 500 (2), OSFI B-13 (1), OSFI CSSA (2)"
011.026,DS,GV.RM-03.04,GOVERN / Risk Management Strategy / Enterprise Risk Integration,"GV.RM-03.04: Technology and cybersecurity risk management considerations are integrated into daily operations, cultural norms, management discussions, and management decision-making, and are tailored to address enterprise-specific risks (both internal and external).",Yes,Yes,No,No,"GV.RM-03
","ASIC (2), DORA Level 1 (2), ECB CROE (5), FFIEC AIO (1), FFIEC CAT (3), HKMA C-RAF (4), OSFI B-13 (2)"
012,S,GV.RM-04,GOVERN / Risk Management Strategy / Risk Response Strategic Direction,GV.RM-04: Strategic direction that describes appropriate risk response options is established and communicated,,,,,"GV.RM-04
",
012.027,DS,GV.RM-04.01,GOVERN / Risk Management Strategy / Risk Response Strategic Direction,"GV.RM-04.01: The governing authority (e.g., the Board or one of its committees) and senior management provide guidance, direction, and credible challenge in the design and implementation of risk management strategies, assessment of identified risks against risk appetite and risk tolerance, and in the selection of risk treatment approaches.",Yes,Yes,Yes,Yes,"GV.RM-04
","APRA CPG 234 (2), APRA CPS 234 (1), ASIC (4), DORA Level 1 (4), EBA (2), ECB CROE (2), FFIEC AIO (2), FFIEC BCM (2), FFIEC CAT (1), FFIEC DAM (2), HK SFC (1), HKMA C-RAF (1), JFSA (2), MAS (2), NAIC IDSML (1), NYDFS Part 500 (2), OSFI B-13 (1), OSFI CSSA (1), SEC Aug 2023 (2)"
013,S,GV.RM-05,GOVERN / Risk Management Strategy / Lines of Communication,"GV.RM-05: Lines of communication across the organization are established for technology and cybersecurity risks, including risks from suppliers and other third parties",,,,,"GV.RM-05
(CRI Modified)",
013.028,DS,GV.RM-05.01,GOVERN / Risk Management Strategy / Lines of Communication,"GV.RM-05.01: The organization has a process for monitoring its technology, cybersecurity, and third-party risks, including escalating those risks that exceed risk appetite to management and identifying risks with the potential to impact multiple operating units.",Yes,Yes,Yes,Yes,"GV.RM-05
","APRA CPG 234 (2), DORA Level 1 (4), EBA (3), ECB CROE (1), FFIEC BCM (1), FFIEC CAT (4), FFIEC DAM (3), HKMA C-RAF (6), MAS (2), NYDFS Part 500 (3), OSFI B-13 (1), OSFI CSSA (2), SEC Aug 2023 (3)"
013.029,DS,GV.RM-05.02,GOVERN / Risk Management Strategy / Lines of Communication,"GV.RM-05.02: The organization establishes minimum requirements for its third-parties that include how the organizations will communicate and coordinate in times of emergency, including:
1) Joint maintenance of contingency plans;
2) Responsibilities for responding to incidents, including forensic investigations;
3) Planning and testing strategies that address severe events in order to identify single points of failure that would cause wide-scale disruption; and
4) Incorporating the potential impact of an incident into their BCM process and ensure resilience capabilities are in place.",Yes,Yes,Yes,Yes,"GV.RM-05
","APRA CPG 234 (2), EBA (1), ECB CROE (1), FFIEC BCM (7), FFIEC CAT (2), FFIEC DAM (1), HKMA C-RAF (6), JFSA (4), MAS (1), NAIC IDSML (2), NYDFS Part 500 (2), OCC CSWP (1), OSFI B-13 (2), OSFI CSSA (2)"
014,S,GV.RM-06,GOVERN / Risk Management Strategy / Standardized Risk Management Method,"GV.RM-06: A standardized method for calculating, documenting, categorizing, and prioritizing technology and cybersecurity risks is established and communicated",,,,,"GV.RM-06
(CRI Modified)",
014.030,DS,GV.RM-06.01,GOVERN / Risk Management Strategy / Standardized Risk Management Method,"GV.RM-06.01: Technology and cybersecurity risk management and risk assessment processes and methodologies are documented and regularly reviewed and updated to address changes in the risk profile and risk appetite, the evolving threat environment, and new technologies, products, services, and interdependencies.",Yes,Yes,Yes,Yes,"GV.RM-06
","APRA CPG 234 (1), ASIC (2), DORA Level 1 (6), EBA (4), ECB CROE (3), FFIEC AIO (1), FFIEC CAT (1), FFIEC DAM (2), HKMA C-RAF (3), JFSA (3), MAS (3), NAIC IDSML (1), NYDFS Part 500 (1), OSFI B-13 (3), OSFI CSSA (4), SEC Aug 2023 (2)"
015,S,GV.RM-07,GOVERN / Risk Management Strategy / Strategic Opportunities,"GV.RM-07: Strategic opportunities (i.e., positive risks) are characterized and are included in organizational technology and cybersecurity risk discussions",,,,,"GV.RM-07
(CRI Modified)",
