,"SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)
to CRI Profile ver. 2.1 Mapping","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)
to CRI Profile ver. 2.1 Mapping","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)
to CRI Profile ver. 2.1 Mapping","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)
to CRI Profile ver. 2.1 Mapping","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)
to CRI Profile ver. 2.1 Mapping","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)
to CRI Profile ver. 2.1 Mapping","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)
to CRI Profile ver. 2.1 Mapping",,
"SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)",Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
Document Section,SEC Id,SEC Statement,Rationale,Relationship,AS,FCS,CRI Profile ver. 2.1 Diagnostic Statement,Profile Subcategory,Profile Id
"Discussion of Final Amendments / C. Disclosure of a Registrant’s Risk Management, Strategy and Governance Regarding Cybersecurity Risks ",SEC-12.II.C.1.a,"As proposed, registrants would be required to include a discussion, as applicable, of: 
• Whether the registrant has a cybersecurity risk assessment program and if so, a description of the program 
 • Whether the registrant engages assessors, consultants, auditors, or other third parties in connection with any cybersecurity risk assessment program 
 • Whether the registrant has policies and procedures to oversee, identify, and mitigate the cybersecurity risks associated with its use of any third- party service provider (including, but not limited to, those providers that have access to the registrant’s customer and employee data), including whether and how cybersecurity considerations affect the selection and oversight of these providers and contractual and other mechanisms the company uses to mitigate cybersecurity risks related to these providers 
• Whether the registrant undertakes activities to prevent, detect, and minimize effects of cybersecurity incidents  
• Whether the registrant has business continuity, contingency, and recovery plans in the event of a cybersecurity incident 
• Whether previous cybersecurity incidents have informed changes in the registrant’s governance, policies and procedures, or technologies
• Whether cybersecurity related risk and incidents have affected or are reasonably likely to affect the registrant’s results of operations or financial condition and if so, how 
• Whether cybersecurity risks are considered as part of the registrant’s business strategy, financial planning, and capital allocation and if so, how ",Semantic,Superset of,7,9,"GV.IR-02.02: The independent risk management function regularly assesses the organization's controls and cybersecurity risk exposure, identifies opportunities for improvement based on assessment results, and recommends program improvements",GOVERN / Independent Risk Management Function / Independent Risk Management Evaluation,GV.IR-02.02
"Discussion of Final Amendments / C. Disclosure of a Registrant’s Risk Management, Strategy and Governance Regarding Cybersecurity Risks ",SEC-12.II.C.1.a,"As proposed, registrants would be required to include a discussion, as applicable, of: 
• Whether the registrant has a cybersecurity risk assessment program and if so, a description of the program 
 • Whether the registrant engages assessors, consultants, auditors, or other third parties in connection with any cybersecurity risk assessment program 
 • Whether the registrant has policies and procedures to oversee, identify, and mitigate the cybersecurity risks associated with its use of any third- party service provider (including, but not limited to, those providers that have access to the registrant’s customer and employee data), including whether and how cybersecurity considerations affect the selection and oversight of these providers and contractual and other mechanisms the company uses to mitigate cybersecurity risks related to these providers 
• Whether the registrant undertakes activities to prevent, detect, and minimize effects of cybersecurity incidents  
• Whether the registrant has business continuity, contingency, and recovery plans in the event of a cybersecurity incident 
• Whether previous cybersecurity incidents have informed changes in the registrant’s governance, policies and procedures, or technologies
• Whether cybersecurity related risk and incidents have affected or are reasonably likely to affect the registrant’s results of operations or financial condition and if so, how 
• Whether cybersecurity risks are considered as part of the registrant’s business strategy, financial planning, and capital allocation and if so, how ",Semantic,Superset of,8,9,"ID.RA-06.01: Technology and cybersecurity risk management programs and risk assessment processes produce actionable recommendations that the organization uses to select, design, prioritize, implement, maintain, evaluate, and modify cybersecurity and technology controls.",IDENTIFY / Risk Assessment / Risk Response Determination,ID.RA-06.01
"Discussion of Final Amendments / C. Disclosure of a Registrant’s Risk Management, Strategy and Governance Regarding Cybersecurity Risks ",SEC-12.II.C.1.a,"As proposed, registrants would be required to include a discussion, as applicable, of: 
• Whether the registrant has a cybersecurity risk assessment program and if so, a description of the program 
 • Whether the registrant engages assessors, consultants, auditors, or other third parties in connection with any cybersecurity risk assessment program 
 • Whether the registrant has policies and procedures to oversee, identify, and mitigate the cybersecurity risks associated with its use of any third- party service provider (including, but not limited to, those providers that have access to the registrant’s customer and employee data), including whether and how cybersecurity considerations affect the selection and oversight of these providers and contractual and other mechanisms the company uses to mitigate cybersecurity risks related to these providers 
• Whether the registrant undertakes activities to prevent, detect, and minimize effects of cybersecurity incidents  
• Whether the registrant has business continuity, contingency, and recovery plans in the event of a cybersecurity incident 
• Whether previous cybersecurity incidents have informed changes in the registrant’s governance, policies and procedures, or technologies
• Whether cybersecurity related risk and incidents have affected or are reasonably likely to affect the registrant’s results of operations or financial condition and if so, how 
• Whether cybersecurity risks are considered as part of the registrant’s business strategy, financial planning, and capital allocation and if so, how ",Semantic,Superset of,8,9,"ID.IM-03.01: A formal process is in place to improve protection controls and processes by integrating recommendations, findings, and lessons learned from exercises, testing, audits, assessments, and incidents.",IDENTIFY / Improvement / Improvements from Lessons Learned,ID.IM-03.01
"Discussion of Final Amendments / C. Disclosure of a Registrant’s Risk Management, Strategy and Governance Regarding Cybersecurity Risks ",SEC-12.II.C.1.a,"As proposed, registrants would be required to include a discussion, as applicable, of: 
• Whether the registrant has a cybersecurity risk assessment program and if so, a description of the program 
 • Whether the registrant engages assessors, consultants, auditors, or other third parties in connection with any cybersecurity risk assessment program 
 • Whether the registrant has policies and procedures to oversee, identify, and mitigate the cybersecurity risks associated with its use of any third- party service provider (including, but not limited to, those providers that have access to the registrant’s customer and employee data), including whether and how cybersecurity considerations affect the selection and oversight of these providers and contractual and other mechanisms the company uses to mitigate cybersecurity risks related to these providers 
• Whether the registrant undertakes activities to prevent, detect, and minimize effects of cybersecurity incidents  
• Whether the registrant has business continuity, contingency, and recovery plans in the event of a cybersecurity incident 
• Whether previous cybersecurity incidents have informed changes in the registrant’s governance, policies and procedures, or technologies
• Whether cybersecurity related risk and incidents have affected or are reasonably likely to affect the registrant’s results of operations or financial condition and if so, how 
• Whether cybersecurity risks are considered as part of the registrant’s business strategy, financial planning, and capital allocation and if so, how ",Semantic,Superset of,7,9,"ID.IM-03.02: The organization establishes a systematic and comprehensive program to regularly evaluate and improve its monitoring and detection processes and controls as the threat environment changes, tools and techniques evolve, and lessons are learned.",IDENTIFY / Improvement / Improvements from Lessons Learned,ID.IM-03.02
"Discussion of Final Amendments / C. Disclosure of a Registrant’s Risk Management, Strategy and Governance Regarding Cybersecurity Risks ",SEC-12.II.C.1.a,"As proposed, registrants would be required to include a discussion, as applicable, of: 
• Whether the registrant has a cybersecurity risk assessment program and if so, a description of the program 
 • Whether the registrant engages assessors, consultants, auditors, or other third parties in connection with any cybersecurity risk assessment program 
 • Whether the registrant has policies and procedures to oversee, identify, and mitigate the cybersecurity risks associated with its use of any third- party service provider (including, but not limited to, those providers that have access to the registrant’s customer and employee data), including whether and how cybersecurity considerations affect the selection and oversight of these providers and contractual and other mechanisms the company uses to mitigate cybersecurity risks related to these providers 
• Whether the registrant undertakes activities to prevent, detect, and minimize effects of cybersecurity incidents  
• Whether the registrant has business continuity, contingency, and recovery plans in the event of a cybersecurity incident 
• Whether previous cybersecurity incidents have informed changes in the registrant’s governance, policies and procedures, or technologies
• Whether cybersecurity related risk and incidents have affected or are reasonably likely to affect the registrant’s results of operations or financial condition and if so, how 
• Whether cybersecurity risks are considered as part of the registrant’s business strategy, financial planning, and capital allocation and if so, how ",Semantic,Superset of,8,9,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.08
"Discussion of Final Amendments / C. Disclosure of a Registrant’s Risk Management, Strategy and Governance Regarding Cybersecurity Risks ",SEC-12.II.C.1.a,"As proposed, registrants would be required to include a discussion, as applicable, of: 
• Whether the registrant has a cybersecurity risk assessment program and if so, a description of the program 
 • Whether the registrant engages assessors, consultants, auditors, or other third parties in connection with any cybersecurity risk assessment program 
 • Whether the registrant has policies and procedures to oversee, identify, and mitigate the cybersecurity risks associated with its use of any third- party service provider (including, but not limited to, those providers that have access to the registrant’s customer and employee data), including whether and how cybersecurity considerations affect the selection and oversight of these providers and contractual and other mechanisms the company uses to mitigate cybersecurity risks related to these providers 
• Whether the registrant undertakes activities to prevent, detect, and minimize effects of cybersecurity incidents  
• Whether the registrant has business continuity, contingency, and recovery plans in the event of a cybersecurity incident 
• Whether previous cybersecurity incidents have informed changes in the registrant’s governance, policies and procedures, or technologies
• Whether cybersecurity related risk and incidents have affected or are reasonably likely to affect the registrant’s results of operations or financial condition and if so, how 
• Whether cybersecurity risks are considered as part of the registrant’s business strategy, financial planning, and capital allocation and if so, how ",Semantic,Superset of,7,9,"RS.AN-08.01: Available incident information is assessed to determine the extent of impact to the organization and its stakeholders, the potential near- and long-term financial implications, and whether or not the incident constitutes a material event.",RESPOND / Incident Analysis / Incident Magnitude Determination,RS.AN-08.01
"Discussion of Final Amendments / C. Disclosure of a Registrant’s Risk Management, Strategy and Governance Regarding Cybersecurity Risks ",SEC-12.II.C.1.a,"As proposed, registrants would be required to include a discussion, as applicable, of: 
• Whether the registrant has a cybersecurity risk assessment program and if so, a description of the program 
 • Whether the registrant engages assessors, consultants, auditors, or other third parties in connection with any cybersecurity risk assessment program 
 • Whether the registrant has policies and procedures to oversee, identify, and mitigate the cybersecurity risks associated with its use of any third- party service provider (including, but not limited to, those providers that have access to the registrant’s customer and employee data), including whether and how cybersecurity considerations affect the selection and oversight of these providers and contractual and other mechanisms the company uses to mitigate cybersecurity risks related to these providers 
• Whether the registrant undertakes activities to prevent, detect, and minimize effects of cybersecurity incidents  
• Whether the registrant has business continuity, contingency, and recovery plans in the event of a cybersecurity incident 
• Whether previous cybersecurity incidents have informed changes in the registrant’s governance, policies and procedures, or technologies
• Whether cybersecurity related risk and incidents have affected or are reasonably likely to affect the registrant’s results of operations or financial condition and if so, how 
• Whether cybersecurity risks are considered as part of the registrant’s business strategy, financial planning, and capital allocation and if so, how ",Semantic,Superset of,7,9,"EX.DD-03.01: The organization reviews, evaluates, and risk assesses a prospective critical third party's cybersecurity program, including its ability to identify, assess, monitor, and mitigate its cyber risks; the completeness of its policies and procedures; the strength of its technical and administrative controls; and the coverage of its internal and independent control testing programs.",EXTEND / Procurement Planning and Due Diligence / Technology & Cybersecurity Risk Assessment,EX.DD-03.01
"Discussion of Final Amendments / C. Disclosure of a Registrant’s Risk Management, Strategy and Governance Regarding Cybersecurity Risks ",SEC-12.II.C.1.a,"As proposed, registrants would be required to include a discussion, as applicable, of: 
• Whether the registrant has a cybersecurity risk assessment program and if so, a description of the program 
 • Whether the registrant engages assessors, consultants, auditors, or other third parties in connection with any cybersecurity risk assessment program 
 • Whether the registrant has policies and procedures to oversee, identify, and mitigate the cybersecurity risks associated with its use of any third- party service provider (including, but not limited to, those providers that have access to the registrant’s customer and employee data), including whether and how cybersecurity considerations affect the selection and oversight of these providers and contractual and other mechanisms the company uses to mitigate cybersecurity risks related to these providers 
• Whether the registrant undertakes activities to prevent, detect, and minimize effects of cybersecurity incidents  
• Whether the registrant has business continuity, contingency, and recovery plans in the event of a cybersecurity incident 
• Whether previous cybersecurity incidents have informed changes in the registrant’s governance, policies and procedures, or technologies
• Whether cybersecurity related risk and incidents have affected or are reasonably likely to affect the registrant’s results of operations or financial condition and if so, how 
• Whether cybersecurity risks are considered as part of the registrant’s business strategy, financial planning, and capital allocation and if so, how ",Semantic,Superset of,7,9,"EX.CN-02.02: Minimum cybersecurity requirements for third-parties include requirements for incident and vulnerability notification, to include the types of events requiring notification, notification timeframes, and escalation protocols.",EXTEND / Third-Party Contracts and Agreements / Contract Cybersecurity-Related Requirements,EX.CN-02.02
"Discussion of Final Amendments / C. Disclosure of a Registrant’s Risk Management, Strategy and Governance Regarding Cybersecurity Risks ",SEC-12.II.C.1.a,"As proposed, registrants would be required to include a discussion, as applicable, of: 
• Whether the registrant has a cybersecurity risk assessment program and if so, a description of the program 
 • Whether the registrant engages assessors, consultants, auditors, or other third parties in connection with any cybersecurity risk assessment program 
 • Whether the registrant has policies and procedures to oversee, identify, and mitigate the cybersecurity risks associated with its use of any third- party service provider (including, but not limited to, those providers that have access to the registrant’s customer and employee data), including whether and how cybersecurity considerations affect the selection and oversight of these providers and contractual and other mechanisms the company uses to mitigate cybersecurity risks related to these providers 
• Whether the registrant undertakes activities to prevent, detect, and minimize effects of cybersecurity incidents  
• Whether the registrant has business continuity, contingency, and recovery plans in the event of a cybersecurity incident 
• Whether previous cybersecurity incidents have informed changes in the registrant’s governance, policies and procedures, or technologies
• Whether cybersecurity related risk and incidents have affected or are reasonably likely to affect the registrant’s results of operations or financial condition and if so, how 
• Whether cybersecurity risks are considered as part of the registrant’s business strategy, financial planning, and capital allocation and if so, how ",Semantic,Superset of,7,9,"EX.MM-01.01: The organization implements procedures, and allocates sufficient resources with the requisite knowledge and experience, to manage and monitor its third-party relationships to a degree and extent commensurate with the risk each third party poses to the organization and the criticality of the third party's products, services, and/or relationship to the organization.",EXTEND / Monitoring and Managing Suppliers / Ongoing Third-Party Monitoring,EX.MM-01.01
"Discussion of Final Amendments / C. Disclosure of a Registrant’s Risk Management, Strategy and Governance Regarding Cybersecurity Risks ",SEC-13.II.C.2.a,"Proposal would focus on the board’s role, requiring discussion, as applicable, of: 
• Whether the entire board, specific board members, or a board committee is responsible for the oversight of cybersecurity risks; 
• The processes by which the board is informed about cybersecurity risks, and the frequency of its discussions on this topic; and 

Proposal would require a description of management’s role in assessing and managing cybersecurity-related risks, as well as its role in implementing the registrant’s cybersecurity policies, procedures, and strategies, including at a minimum discussion of: 
• Whether certain management positions or committees are responsible for measuring and managing cybersecurity risk, specifically the prevention, mitigation, detection, and remediation of cybersecurity incidents, and the relevant expertise of such persons or members; 
• Whether the registrant has a designated chief information security officer, or someone in a comparable position, and if so, to whom that individual reports within the registrant’s organizational chart, and the relevant expertise of any such persons; 
• The processes by which such persons or committees are informed about and monitor the prevention, mitigation, detection, and remediation of cybersecurity incidents; and
• Whether and how frequently such persons or committees report to the board of directors or a committee of the board of directors on cybersecurity risk. ",Semantic,Superset of,7,8,"GV.RM-02.01: The governing authority (e.g., the Board or one of its committees) endorses and regularly reviews technology and cybersecurity risk appetite and is regularly informed about the status of, and material changes to, the organization's inherent risk profile.",GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.01
"Discussion of Final Amendments / C. Disclosure of a Registrant’s Risk Management, Strategy and Governance Regarding Cybersecurity Risks ",SEC-13.II.C.2.a,"Proposal would focus on the board’s role, requiring discussion, as applicable, of: 
• Whether the entire board, specific board members, or a board committee is responsible for the oversight of cybersecurity risks; 
• The processes by which the board is informed about cybersecurity risks, and the frequency of its discussions on this topic; and 

Proposal would require a description of management’s role in assessing and managing cybersecurity-related risks, as well as its role in implementing the registrant’s cybersecurity policies, procedures, and strategies, including at a minimum discussion of: 
• Whether certain management positions or committees are responsible for measuring and managing cybersecurity risk, specifically the prevention, mitigation, detection, and remediation of cybersecurity incidents, and the relevant expertise of such persons or members; 
• Whether the registrant has a designated chief information security officer, or someone in a comparable position, and if so, to whom that individual reports within the registrant’s organizational chart, and the relevant expertise of any such persons; 
• The processes by which such persons or committees are informed about and monitor the prevention, mitigation, detection, and remediation of cybersecurity incidents; and
• Whether and how frequently such persons or committees report to the board of directors or a committee of the board of directors on cybersecurity risk. ",Semantic,Superset of,7,8,"GV.RR-01.01: The governing authority (e.g., the Board or one of its committees) oversees and holds senior management accountable for implementing the organization’s technology and cybersecurity risk management strategies and frameworks.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.01
"Discussion of Final Amendments / C. Disclosure of a Registrant’s Risk Management, Strategy and Governance Regarding Cybersecurity Risks ",SEC-13.II.C.2.a,"Proposal would focus on the board’s role, requiring discussion, as applicable, of: 
• Whether the entire board, specific board members, or a board committee is responsible for the oversight of cybersecurity risks; 
• The processes by which the board is informed about cybersecurity risks, and the frequency of its discussions on this topic; and 

Proposal would require a description of management’s role in assessing and managing cybersecurity-related risks, as well as its role in implementing the registrant’s cybersecurity policies, procedures, and strategies, including at a minimum discussion of: 
• Whether certain management positions or committees are responsible for measuring and managing cybersecurity risk, specifically the prevention, mitigation, detection, and remediation of cybersecurity incidents, and the relevant expertise of such persons or members; 
• Whether the registrant has a designated chief information security officer, or someone in a comparable position, and if so, to whom that individual reports within the registrant’s organizational chart, and the relevant expertise of any such persons; 
• The processes by which such persons or committees are informed about and monitor the prevention, mitigation, detection, and remediation of cybersecurity incidents; and
• Whether and how frequently such persons or committees report to the board of directors or a committee of the board of directors on cybersecurity risk. ",Semantic,Superset of,8,8,"GV.RR-01.02: The governing authority (e.g., the Board or one of its committees) regularly reviews, oversees, and holds senior management accountable for implementing the organization’s third-party risk management strategy and program and for managing the organization's ongoing risks associated with the aggregate and specific use of third parties.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.02
"Discussion of Final Amendments / C. Disclosure of a Registrant’s Risk Management, Strategy and Governance Regarding Cybersecurity Risks ",SEC-13.II.C.2.a,"Proposal would focus on the board’s role, requiring discussion, as applicable, of: 
• Whether the entire board, specific board members, or a board committee is responsible for the oversight of cybersecurity risks; 
• The processes by which the board is informed about cybersecurity risks, and the frequency of its discussions on this topic; and 

Proposal would require a description of management’s role in assessing and managing cybersecurity-related risks, as well as its role in implementing the registrant’s cybersecurity policies, procedures, and strategies, including at a minimum discussion of: 
• Whether certain management positions or committees are responsible for measuring and managing cybersecurity risk, specifically the prevention, mitigation, detection, and remediation of cybersecurity incidents, and the relevant expertise of such persons or members; 
• Whether the registrant has a designated chief information security officer, or someone in a comparable position, and if so, to whom that individual reports within the registrant’s organizational chart, and the relevant expertise of any such persons; 
• The processes by which such persons or committees are informed about and monitor the prevention, mitigation, detection, and remediation of cybersecurity incidents; and
• Whether and how frequently such persons or committees report to the board of directors or a committee of the board of directors on cybersecurity risk. ",Semantic,Superset of,8,8,"GV.RR-01.03: The governing authority (e.g., the Board or one of its committees) regularly reviews, oversees, and holds senior management accountable for implementing the organization’s resilience strategy and program and for managing the organization's ongoing resilience risks.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.03
"Discussion of Final Amendments / C. Disclosure of a Registrant’s Risk Management, Strategy and Governance Regarding Cybersecurity Risks ",SEC-13.II.C.2.a,"Proposal would focus on the board’s role, requiring discussion, as applicable, of: 
• Whether the entire board, specific board members, or a board committee is responsible for the oversight of cybersecurity risks; 
• The processes by which the board is informed about cybersecurity risks, and the frequency of its discussions on this topic; and 

Proposal would require a description of management’s role in assessing and managing cybersecurity-related risks, as well as its role in implementing the registrant’s cybersecurity policies, procedures, and strategies, including at a minimum discussion of: 
• Whether certain management positions or committees are responsible for measuring and managing cybersecurity risk, specifically the prevention, mitigation, detection, and remediation of cybersecurity incidents, and the relevant expertise of such persons or members; 
• Whether the registrant has a designated chief information security officer, or someone in a comparable position, and if so, to whom that individual reports within the registrant’s organizational chart, and the relevant expertise of any such persons; 
• The processes by which such persons or committees are informed about and monitor the prevention, mitigation, detection, and remediation of cybersecurity incidents; and
• Whether and how frequently such persons or committees report to the board of directors or a committee of the board of directors on cybersecurity risk. ",Semantic,Superset of,7,8,"GV.RR-02.03: Resilience program roles and responsibilities are assigned to management across the organization to ensure risk assessment, planning, testing, and execution coverage for all critical business functions.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.03
"Discussion of Final Amendments / C. Disclosure of a Registrant’s Risk Management, Strategy and Governance Regarding Cybersecurity Risks ",SEC-13.II.C.2.a,"Proposal would focus on the board’s role, requiring discussion, as applicable, of: 
• Whether the entire board, specific board members, or a board committee is responsible for the oversight of cybersecurity risks; 
• The processes by which the board is informed about cybersecurity risks, and the frequency of its discussions on this topic; and 

Proposal would require a description of management’s role in assessing and managing cybersecurity-related risks, as well as its role in implementing the registrant’s cybersecurity policies, procedures, and strategies, including at a minimum discussion of: 
• Whether certain management positions or committees are responsible for measuring and managing cybersecurity risk, specifically the prevention, mitigation, detection, and remediation of cybersecurity incidents, and the relevant expertise of such persons or members; 
• Whether the registrant has a designated chief information security officer, or someone in a comparable position, and if so, to whom that individual reports within the registrant’s organizational chart, and the relevant expertise of any such persons; 
• The processes by which such persons or committees are informed about and monitor the prevention, mitigation, detection, and remediation of cybersecurity incidents; and
• Whether and how frequently such persons or committees report to the board of directors or a committee of the board of directors on cybersecurity risk. ",Semantic,Superset of,7,8,"GV.PO-01.01: Technology and cybersecurity policies are documented, maintained and approved by the governing authority (e.g., the Board or one of its committees) or a designated executive.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.01
"Discussion of Final Amendments / C. Disclosure of a Registrant’s Risk Management, Strategy and Governance Regarding Cybersecurity Risks ",SEC-13.II.C.2.a,"Proposal would focus on the board’s role, requiring discussion, as applicable, of: 
• Whether the entire board, specific board members, or a board committee is responsible for the oversight of cybersecurity risks; 
• The processes by which the board is informed about cybersecurity risks, and the frequency of its discussions on this topic; and 

Proposal would require a description of management’s role in assessing and managing cybersecurity-related risks, as well as its role in implementing the registrant’s cybersecurity policies, procedures, and strategies, including at a minimum discussion of: 
• Whether certain management positions or committees are responsible for measuring and managing cybersecurity risk, specifically the prevention, mitigation, detection, and remediation of cybersecurity incidents, and the relevant expertise of such persons or members; 
• Whether the registrant has a designated chief information security officer, or someone in a comparable position, and if so, to whom that individual reports within the registrant’s organizational chart, and the relevant expertise of any such persons; 
• The processes by which such persons or committees are informed about and monitor the prevention, mitigation, detection, and remediation of cybersecurity incidents; and
• Whether and how frequently such persons or committees report to the board of directors or a committee of the board of directors on cybersecurity risk. ",Semantic,Superset of,7,8,"GV.OV-01.01: The governing authority (e.g., the Board or one of its committees) regularly reviews and evaluates the organization's ability to manage its technology, cybersecurity, third-party, and resilience risks.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.01
"Discussion of Final Amendments / C. Disclosure of a Registrant’s Risk Management, Strategy and Governance Regarding Cybersecurity Risks ",SEC-13.II.C.2.a,"Proposal would focus on the board’s role, requiring discussion, as applicable, of: 
• Whether the entire board, specific board members, or a board committee is responsible for the oversight of cybersecurity risks; 
• The processes by which the board is informed about cybersecurity risks, and the frequency of its discussions on this topic; and 

Proposal would require a description of management’s role in assessing and managing cybersecurity-related risks, as well as its role in implementing the registrant’s cybersecurity policies, procedures, and strategies, including at a minimum discussion of: 
• Whether certain management positions or committees are responsible for measuring and managing cybersecurity risk, specifically the prevention, mitigation, detection, and remediation of cybersecurity incidents, and the relevant expertise of such persons or members; 
• Whether the registrant has a designated chief information security officer, or someone in a comparable position, and if so, to whom that individual reports within the registrant’s organizational chart, and the relevant expertise of any such persons; 
• The processes by which such persons or committees are informed about and monitor the prevention, mitigation, detection, and remediation of cybersecurity incidents; and
• Whether and how frequently such persons or committees report to the board of directors or a committee of the board of directors on cybersecurity risk. ",Semantic,Superset of,7,8,"GV.OV-01.02: The designated Cybersecurity Officer (e.g., CISO) periodically reports to the appropriate governing authority (e.g., the Board or one of its committees) or equivalent governing body on the status of cybersecurity within the organization.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.02
"Discussion of Final Amendments / C. Disclosure of a Registrant’s Risk Management, Strategy and Governance Regarding Cybersecurity Risks ",SEC-13.II.C.2.a,"Proposal would focus on the board’s role, requiring discussion, as applicable, of: 
• Whether the entire board, specific board members, or a board committee is responsible for the oversight of cybersecurity risks; 
• The processes by which the board is informed about cybersecurity risks, and the frequency of its discussions on this topic; and 

Proposal would require a description of management’s role in assessing and managing cybersecurity-related risks, as well as its role in implementing the registrant’s cybersecurity policies, procedures, and strategies, including at a minimum discussion of: 
• Whether certain management positions or committees are responsible for measuring and managing cybersecurity risk, specifically the prevention, mitigation, detection, and remediation of cybersecurity incidents, and the relevant expertise of such persons or members; 
• Whether the registrant has a designated chief information security officer, or someone in a comparable position, and if so, to whom that individual reports within the registrant’s organizational chart, and the relevant expertise of any such persons; 
• The processes by which such persons or committees are informed about and monitor the prevention, mitigation, detection, and remediation of cybersecurity incidents; and
• Whether and how frequently such persons or committees report to the board of directors or a committee of the board of directors on cybersecurity risk. ",Semantic,Superset of,8,8,"GV.OV-03.01: The organization develops, implements, and reports to management and the governing body (e.g., the Board or one of its committees) key technology and cybersecurity risk and performance indicators and metrics to measure, monitor, and report actionable indicators.",GOVERN / Oversight / Risk Management Performance Measurement,GV.OV-03.01
"Discussion of Final Amendments / C. Disclosure of a Registrant’s Risk Management, Strategy and Governance Regarding Cybersecurity Risks ",SEC-13.II.C.2.a,"Proposal would focus on the board’s role, requiring discussion, as applicable, of: 
• Whether the entire board, specific board members, or a board committee is responsible for the oversight of cybersecurity risks; 
• The processes by which the board is informed about cybersecurity risks, and the frequency of its discussions on this topic; and 

Proposal would require a description of management’s role in assessing and managing cybersecurity-related risks, as well as its role in implementing the registrant’s cybersecurity policies, procedures, and strategies, including at a minimum discussion of: 
• Whether certain management positions or committees are responsible for measuring and managing cybersecurity risk, specifically the prevention, mitigation, detection, and remediation of cybersecurity incidents, and the relevant expertise of such persons or members; 
• Whether the registrant has a designated chief information security officer, or someone in a comparable position, and if so, to whom that individual reports within the registrant’s organizational chart, and the relevant expertise of any such persons; 
• The processes by which such persons or committees are informed about and monitor the prevention, mitigation, detection, and remediation of cybersecurity incidents; and
• Whether and how frequently such persons or committees report to the board of directors or a committee of the board of directors on cybersecurity risk. ",Semantic,Superset of,7,8,"GV.OV-03.02: Resilience program performance is measured and regularly reported to senior executives and the governing authority (e.g., the Board or one of its committees).",GOVERN / Oversight / Risk Management Performance Measurement,GV.OV-03.02
"Discussion of Final Amendments / C. Disclosure of a Registrant’s Risk Management, Strategy and Governance Regarding Cybersecurity Risks ",SEC-13.II.C.2.a,"Proposal would focus on the board’s role, requiring discussion, as applicable, of: 
• Whether the entire board, specific board members, or a board committee is responsible for the oversight of cybersecurity risks; 
• The processes by which the board is informed about cybersecurity risks, and the frequency of its discussions on this topic; and 

Proposal would require a description of management’s role in assessing and managing cybersecurity-related risks, as well as its role in implementing the registrant’s cybersecurity policies, procedures, and strategies, including at a minimum discussion of: 
• Whether certain management positions or committees are responsible for measuring and managing cybersecurity risk, specifically the prevention, mitigation, detection, and remediation of cybersecurity incidents, and the relevant expertise of such persons or members; 
• Whether the registrant has a designated chief information security officer, or someone in a comparable position, and if so, to whom that individual reports within the registrant’s organizational chart, and the relevant expertise of any such persons; 
• The processes by which such persons or committees are informed about and monitor the prevention, mitigation, detection, and remediation of cybersecurity incidents; and
• Whether and how frequently such persons or committees report to the board of directors or a committee of the board of directors on cybersecurity risk. ",Semantic,Superset of,7,8,"GV.IR-03.01: The independent risk management function reports to the governing authority (e.g., the Board or one of its committees) and to the designated risk management officer within the organization on the implementation of the technology and cybersecurity risk management frameworks throughout the organization and its independent assessment of risk posture.",GOVERN / Independent Risk Management Function / Independent Risk Management Reporting,GV.IR-03.01
