,"SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)
to CRI Profile ver. 2.1 Mapping","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)
to CRI Profile ver. 2.1 Mapping","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)
to CRI Profile ver. 2.1 Mapping","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)
to CRI Profile ver. 2.1 Mapping","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)
to CRI Profile ver. 2.1 Mapping","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)
to CRI Profile ver. 2.1 Mapping","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)
to CRI Profile ver. 2.1 Mapping",,
"SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)",Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
Document Section,SEC Id,SEC Statement,Rationale,Relationship,AS,FCS,CRI Profile ver. 2.1 Diagnostic Statement,Profile Subcategory,Profile Id
Introduction,SEC-03.I.A.3,"Registrants must: 
—Describe the board’s oversight of risks from cybersecurity threats. 
—Describe management’s role in assessing and managing material risks from cybersecurity threats. ",Semantic,Superset of,8,8,"GV.OV-01.01: The governing authority (e.g., the Board or one of its committees) regularly reviews and evaluates the organization's ability to manage its technology, cybersecurity, third-party, and resilience risks.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.01
Introduction,SEC-03.I.A.3,"Registrants must: 
—Describe the board’s oversight of risks from cybersecurity threats. 
—Describe management’s role in assessing and managing material risks from cybersecurity threats. ",Semantic,Superset of,8,8,"GV.OV-01.02: The designated Cybersecurity Officer (e.g., CISO) periodically reports to the appropriate governing authority (e.g., the Board or one of its committees) or equivalent governing body on the status of cybersecurity within the organization.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.02
Introduction,SEC-03.I.A.3,"Registrants must: 
—Describe the board’s oversight of risks from cybersecurity threats. 
—Describe management’s role in assessing and managing material risks from cybersecurity threats. ",Semantic,Superset of,7,8,"GV.OV-03.02: Resilience program performance is measured and regularly reported to senior executives and the governing authority (e.g., the Board or one of its committees).",GOVERN / Oversight / Risk Management Performance Measurement,GV.OV-03.02
Introduction,SEC-03.I.A.3,"Registrants must: 
—Describe the board’s oversight of risks from cybersecurity threats. 
—Describe management’s role in assessing and managing material risks from cybersecurity threats. ",Semantic,Superset of,7,8,"RS.AN-08.01: Available incident information is assessed to determine the extent of impact to the organization and its stakeholders, the potential near- and long-term financial implications, and whether or not the incident constitutes a material event.",RESPOND / Incident Analysis / Incident Magnitude Determination,RS.AN-08.01
Introduction,SEC-03.I.A.3,"Registrants must: 
—Describe the board’s oversight of risks from cybersecurity threats. 
—Describe management’s role in assessing and managing material risks from cybersecurity threats. ",Semantic,Superset of,8,8,"RS.CO-02.01: The organization's incident response program includes defined and approved escalation protocols, linked to organizational decision levels and communication strategies, including which types of information will be shared, with whom (e.g., the organization's governing authority and senior management), and how information provided to the organization will be acted upon.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02.01
Introduction,SEC-04.I.A.4,"Registrants must disclose any cybersecurity incident they experience that is determined to be material, and describe the material aspects of its: 
—Nature, scope, and timing; and 
—Impact or reasonably likely impact. ",Semantic,Superset of,8,9,"DE.AE-04.01: The organization has a documented process to analyze and triage incidents to assess root cause, technical impact, mitigation priority, and business impact on the organization, as well as across the financial sector and other third party stakeholders.",DETECT / Adverse Event Analysis / Impact & Scope Determination,DE.AE-04.01
Introduction,SEC-04.I.A.4,"Registrants must disclose any cybersecurity incident they experience that is determined to be material, and describe the material aspects of its: 
—Nature, scope, and timing; and 
—Impact or reasonably likely impact. ",Semantic,Superset of,7,9,"DE.AE-06.01: The organization has established processes and protocols to communicate, alert, and regularly report potential cyber attacks and incident information, including its corresponding analysis and cyber threat intelligence, to authorized internal and external stakeholders.",DETECT / Adverse Event Analysis / Event Information Sharing,DE.AE-06.01
Introduction,SEC-04.I.A.4,"Registrants must disclose any cybersecurity incident they experience that is determined to be material, and describe the material aspects of its: 
—Nature, scope, and timing; and 
—Impact or reasonably likely impact. ",Functional ,Intersects with,6,9,"RS.AN-03.01: The organization performs a thorough investigation to determine the nature and scope of an event, possible root causes, and the potential damage inflicted.",RESPOND / Incident Analysis / Incident Analysis & Root Cause Determination,RS.AN-03.01
Introduction,SEC-04.I.A.4,"Registrants must disclose any cybersecurity incident they experience that is determined to be material, and describe the material aspects of its: 
—Nature, scope, and timing; and 
—Impact or reasonably likely impact. ",Functional ,Intersects with,6,9,"RS.AN-08.01: Available incident information is assessed to determine the extent of impact to the organization and its stakeholders, the potential near- and long-term financial implications, and whether or not the incident constitutes a material event.",RESPOND / Incident Analysis / Incident Magnitude Determination,RS.AN-08.01
Introduction,SEC-04.I.A.4,"Registrants must disclose any cybersecurity incident they experience that is determined to be material, and describe the material aspects of its: 
—Nature, scope, and timing; and 
—Impact or reasonably likely impact. ",Semantic,Superset of,8,9,"RS.CO-02.02: In the event of an incident, the organization notifies impacted stakeholders including, as required, government bodies, self-regulatory agencies and/or other supervisory bodies, within required timeframes.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02.02
Introduction,SEC-05.I.A.5,"An Item 1.05 Form 8–K must be filed within four business days of determining an incident was material. A registrant may delay filing as described below, if the United States Attorney General (‘‘Attorney General’’) determines immediate disclosure would pose a substantial risk to national security or public safety. ",Semantic,Subset of ,6,7,"GV.OC-03.01: The organization's technology and cybersecurity strategy, framework, and policies align and are consistent with the organization's legal, statutory, contractual, and regulatory obligations and ensure that compliance responsibilities are unambiguously assigned.","GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",GV.OC-03.01
Introduction,SEC-05.I.A.5,"An Item 1.05 Form 8–K must be filed within four business days of determining an incident was material. A registrant may delay filing as described below, if the United States Attorney General (‘‘Attorney General’’) determines immediate disclosure would pose a substantial risk to national security or public safety. ",Semantic,Subset of ,6,7,"GV.RR-02.02: The organization has established and assigned roles and responsibilities for systematic cybersecurity threat identification, monitoring, detection, and event reporting processes, and ensures adequate coverage and organizational alignment for these functions.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.02
Introduction,SEC-05.I.A.5,"An Item 1.05 Form 8–K must be filed within four business days of determining an incident was material. A registrant may delay filing as described below, if the United States Attorney General (‘‘Attorney General’’) determines immediate disclosure would pose a substantial risk to national security or public safety. ",Semantic,Subset of ,7,7,"RS.AN-08.01: Available incident information is assessed to determine the extent of impact to the organization and its stakeholders, the potential near- and long-term financial implications, and whether or not the incident constitutes a material event.",RESPOND / Incident Analysis / Incident Magnitude Determination,RS.AN-08.01
Introduction,SEC-05.I.A.5,"An Item 1.05 Form 8–K must be filed within four business days of determining an incident was material. A registrant may delay filing as described below, if the United States Attorney General (‘‘Attorney General’’) determines immediate disclosure would pose a substantial risk to national security or public safety. ",Semantic,Subset of ,7,7,"RS.CO-02.02: In the event of an incident, the organization notifies impacted stakeholders including, as required, government bodies, self-regulatory agencies and/or other supervisory bodies, within required timeframes.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02.02
Introduction,SEC-06.I.A.6,Registrants must amend a prior Item 1.05 Form 8–K to disclose any information called for in Item 1.05(a) that was not determined or was unavailable at the time of the initial Form 8–K filing. ,Semantic,Subset of ,4,4,"GV.OC-03.01: The organization's technology and cybersecurity strategy, framework, and policies align and are consistent with the organization's legal, statutory, contractual, and regulatory obligations and ensure that compliance responsibilities are unambiguously assigned.","GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",GV.OC-03.01
Introduction,SEC-06.I.A.6,Registrants must amend a prior Item 1.05 Form 8–K to disclose any information called for in Item 1.05(a) that was not determined or was unavailable at the time of the initial Form 8–K filing. ,Semantic,Subset of ,5,4,"RS.CO-02.02: In the event of an incident, the organization notifies impacted stakeholders including, as required, government bodies, self-regulatory agencies and/or other supervisory bodies, within required timeframes.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02.02
Introduction,SEC-07.I.A.7,"FPIs must: 
—Describe the board’s oversight of risks from cybersecurity threats. 
—Describe management’s role in assessing and managing material risks from cybersecurity threats.",Semantic,Superset of,8,8,"GV.RM-01.01: Technology and cybersecurity risk management strategies and frameworks are approved by the governing authority (e.g., the Board or one of its committees) and incorporated into the overall business strategy and enterprise risk management framework.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.01
Introduction,SEC-07.I.A.7,"FPIs must: 
—Describe the board’s oversight of risks from cybersecurity threats. 
—Describe management’s role in assessing and managing material risks from cybersecurity threats.",Semantic,Superset of,8,8,"GV.RM-02.01: The governing authority (e.g., the Board or one of its committees) endorses and regularly reviews technology and cybersecurity risk appetite and is regularly informed about the status of, and material changes to, the organization's inherent risk profile.",GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.01
Introduction,SEC-07.I.A.7,"FPIs must: 
—Describe the board’s oversight of risks from cybersecurity threats. 
—Describe management’s role in assessing and managing material risks from cybersecurity threats.",Semantic,Superset of,8,8,"GV.RM-04.01: The governing authority (e.g., the Board or one of its committees) and senior management provide guidance, direction, and credible challenge in the design and implementation of risk management strategies, assessment of identified risks against risk appetite and risk tolerance, and in the selection of risk treatment approaches.",GOVERN / Risk Management Strategy / Risk Response Strategic Direction,GV.RM-04.01
