3. Technology Risk Governance and Oversight / 3.1 Roles of the Board of Directors and Senior Management,TR-3.1.8,"3.1.8: Senior management is responsible for: 
a) establishing the technology risk management framework and strategy;
b) managing technology risks based on the established framework and strategy;
c) ensuring sound and prudent policies, standards and procedures for managing technology risks are established and maintained, and that standards and procedures are implemented effectively;
d) ensuring the roles and responsibilities of staff in managing technology risks are delineated clearly; and
e) apprising the board of directors of salient and adverse technology risk developments and incidents that are likely to have a major impact on the FI in a timely manner.",Full Summarily,"GV.RM-01.01: Technology and cybersecurity risk management strategies and frameworks are approved by the governing authority (e.g., the Board or one of its committees) and incorporated into the overall business strategy and enterprise risk management framework.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.01
3. Technology Risk Governance and Oversight / 3.1 Roles of the Board of Directors and Senior Management,TR-3.1.8,"3.1.8: Senior management is responsible for: 
a) establishing the technology risk management framework and strategy;
b) managing technology risks based on the established framework and strategy;
c) ensuring sound and prudent policies, standards and procedures for managing technology risks are established and maintained, and that standards and procedures are implemented effectively;
d) ensuring the roles and responsibilities of staff in managing technology risks are delineated clearly; and
e) apprising the board of directors of salient and adverse technology risk developments and incidents that are likely to have a major impact on the FI in a timely manner.",Full Summarily,"GV.RM-02.01: The governing authority (e.g., the Board or one of its committees) endorses and regularly reviews technology and cybersecurity risk appetite and is regularly informed about the status of, and material changes to, the organization's inherent risk profile.",GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.01
3. Technology Risk Governance and Oversight / 3.1 Roles of the Board of Directors and Senior Management,TR-3.1.8,"3.1.8: Senior management is responsible for: 
a) establishing the technology risk management framework and strategy;
b) managing technology risks based on the established framework and strategy;
c) ensuring sound and prudent policies, standards and procedures for managing technology risks are established and maintained, and that standards and procedures are implemented effectively;
d) ensuring the roles and responsibilities of staff in managing technology risks are delineated clearly; and
e) apprising the board of directors of salient and adverse technology risk developments and incidents that are likely to have a major impact on the FI in a timely manner.",Full Summarily,"GV.RR-01.01: The governing authority (e.g., the Board or one of its committees) oversees and holds senior management accountable for implementing the organization’s technology and cybersecurity risk management strategies and frameworks.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.01
3. Technology Risk Governance and Oversight / 3.1 Roles of the Board of Directors and Senior Management,TR-3.1.8,"3.1.8: Senior management is responsible for: 
a) establishing the technology risk management framework and strategy;
b) managing technology risks based on the established framework and strategy;
c) ensuring sound and prudent policies, standards and procedures for managing technology risks are established and maintained, and that standards and procedures are implemented effectively;
d) ensuring the roles and responsibilities of staff in managing technology risks are delineated clearly; and
e) apprising the board of directors of salient and adverse technology risk developments and incidents that are likely to have a major impact on the FI in a timely manner.",Full Summarily,"GV.RR-02.01: The roles, responsibilities, qualifications, and skill requirements for personnel (employees and third parties) that implement, manage, and oversee the technology, cybersecurity, and resilience programs are defined, aligned, coordinated, and holistically managed.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.01
3. Technology Risk Governance and Oversight / 3.1 Roles of the Board of Directors and Senior Management,TR-3.1.8,"3.1.8: Senior management is responsible for: 
a) establishing the technology risk management framework and strategy;
b) managing technology risks based on the established framework and strategy;
c) ensuring sound and prudent policies, standards and procedures for managing technology risks are established and maintained, and that standards and procedures are implemented effectively;
d) ensuring the roles and responsibilities of staff in managing technology risks are delineated clearly; and
e) apprising the board of directors of salient and adverse technology risk developments and incidents that are likely to have a major impact on the FI in a timely manner.",Full Summarily,"GV.PO-01.01: Technology and cybersecurity policies are documented, maintained and approved by the governing authority (e.g., the Board or one of its committees) or a designated executive.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.01
3. Technology Risk Governance and Oversight / 3.1 Roles of the Board of Directors and Senior Management,TR-3.1.8,"3.1.8: Senior management is responsible for: 
a) establishing the technology risk management framework and strategy;
b) managing technology risks based on the established framework and strategy;
c) ensuring sound and prudent policies, standards and procedures for managing technology risks are established and maintained, and that standards and procedures are implemented effectively;
d) ensuring the roles and responsibilities of staff in managing technology risks are delineated clearly; and
e) apprising the board of directors of salient and adverse technology risk developments and incidents that are likely to have a major impact on the FI in a timely manner.",Full Summarily,"GV.OV-01.01: The governing authority (e.g., the Board or one of its committees) regularly reviews and evaluates the organization's ability to manage its technology, cybersecurity, third-party, and resilience risks.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.01
3. Technology Risk Governance and Oversight / 3.1 Roles of the Board of Directors and Senior Management,TR-3.1.8,"3.1.8: Senior management is responsible for: 
a) establishing the technology risk management framework and strategy;
b) managing technology risks based on the established framework and strategy;
c) ensuring sound and prudent policies, standards and procedures for managing technology risks are established and maintained, and that standards and procedures are implemented effectively;
d) ensuring the roles and responsibilities of staff in managing technology risks are delineated clearly; and
e) apprising the board of directors of salient and adverse technology risk developments and incidents that are likely to have a major impact on the FI in a timely manner.",Full Summarily,"GV.OV-03.01: The organization develops, implements, and reports to management and the governing body (e.g., the Board or one of its committees) key technology and cybersecurity risk and performance indicators and metrics to measure, monitor, and report actionable indicators.",GOVERN / Oversight / Risk Management Performance Measurement,GV.OV-03.01
"3. Technology Risk Governance and Oversight / 3.2 Policies, Standards and Procedures",TR-3.2.1,"3.2.1: The FI should establish policies, standards and procedures and, where appropriate, incorporate industry standards and best practices to manage technology risks and safeguard information assets in the FI. The policies, standards and procedures should also be regularly reviewed and updated, taking into consideration the evolving technology and cyber threat landscape.",Full Summarily,"GV.RM-01.02: Technology and cybersecurity risk management strategies and frameworks are informed by applicable international, national, and financial services industry standards and guidelines.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.02
"3. Technology Risk Governance and Oversight / 3.2 Policies, Standards and Procedures",TR-3.2.1,"3.2.1: The FI should establish policies, standards and procedures and, where appropriate, incorporate industry standards and best practices to manage technology risks and safeguard information assets in the FI. The policies, standards and procedures should also be regularly reviewed and updated, taking into consideration the evolving technology and cyber threat landscape.",Full Summarily,"GV.PO-01.01: Technology and cybersecurity policies are documented, maintained and approved by the governing authority (e.g., the Board or one of its committees) or a designated executive.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.01
"3. Technology Risk Governance and Oversight / 3.2 Policies, Standards and Procedures",TR-3.2.1,"3.2.1: The FI should establish policies, standards and procedures and, where appropriate, incorporate industry standards and best practices to manage technology risks and safeguard information assets in the FI. The policies, standards and procedures should also be regularly reviewed and updated, taking into consideration the evolving technology and cyber threat landscape.",Full Summarily,"GV.PO-01.05: Technology and cybersecurity processes, procedures, and controls are established in alignment with cybersecurity policy.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.05
