,,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,
AC-03,Access Control (AC),Access Enforcement,"Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.
",Semantic,Intersects with,9,10,"PR.AA-05.02: The organization institutes controls over privileged system access by strictly limiting and closely managing staff and services with elevated system entitlements (e.g., multi-factor authentication, dual accounts, privilege and time constraints, etc.)","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.02,074.170,
AC-03,Access Control (AC),Access Enforcement,"Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.
",Semantic,Intersects with,9,10,"PR.AA-05.03: The organization institutes controls over service account (i.e., accounts used by systems to access other systems) lifecycles to ensure strict security over creation, use, and termination; access credentials (e.g., no embedded passwords in code); frequent reviews of account ownership; visibility for unauthorized use; and hardening against malicious insider use.","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.03,074.171,
AC-03,Access Control (AC),Access Enforcement,"Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.
",Semantic,Intersects with,8,10,"PR.AA-05.04: Specific roles, responsibilities, and procedures to manage the risk of third-party access to organizational systems and facilities are defined and implemented.","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.04,074.172,
AC-03,Access Control (AC),Access Enforcement,"Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.
",Semantic,Intersects with,8,10,"PR.PS-01.08: End-user mobile or personal computing devices accessing the organization's network employ mechanisms to protect network, application, and data integrity, such as ""Mobile Device Management (MDM)"" and ""Mobile Application Management (MAM)"" technologies, device fingerprinting, storage containerization and encryption, integrity scanning, automated patch application, remote wipe, and data leakage protections.",PROTECT / Platform Security / Configuration Management,PR.PS-01.08,085.200,
AC-03,Access Control (AC),Access Enforcement,"Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.
",Semantic,Intersects with,8,10,"PR.PS-01.09: Endpoint systems implemented using virtualization technologies employ mechanisms to protect network, application, and data integrity, such as restricting access to local network and peripheral devices, multi-factor authentication, locking-down device source network locations, and data leakage protections.",PROTECT / Platform Security / Configuration Management,PR.PS-01.09,085.201,
AC-03,Access Control (AC),Access Enforcement,"Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.
",Semantic,Intersects with,8,10,"PR.IR-01.08: The organization implements policies, procedures, end-user agreements, and technical controls to address the risks of end-user mobile or personal computing devices accessing the organization's network and resources.",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.08,093.231,
AC-04,Access Control (AC),Information Flow Enforcement,"Enforce approved authorizations for controlling the flow of information within the system and between connected systems based on [Assignment: organization-defined information flow control policies].
",Semantic,Intersects with,7,7,"ID.AM-03.01: The organization maintains current maps of network resources, mobile resources, external connections, network-connected third parties, and network data flows.",IDENTIFY / Asset Management / Network Communications & Data Flows,ID.AM-03.01,049.100,
AC-04,Access Control (AC),Information Flow Enforcement,"Enforce approved authorizations for controlling the flow of information within the system and between connected systems based on [Assignment: organization-defined information flow control policies].
",Semantic,Intersects with,7,7,"ID.AM-07.01: The organization maintains a current inventory of the data being created, stored, or processed by its information assets and data flow diagrams depicting key internal and external data flows.",IDENTIFY / Asset Management / Data & Metadata Inventory,ID.AM-07.01,052.104,
AC-04,Access Control (AC),Information Flow Enforcement,"Enforce approved authorizations for controlling the flow of information within the system and between connected systems based on [Assignment: organization-defined information flow control policies].
",Semantic,Intersects with,7,7,"PR.DS-02.01: Data-in-transit is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, masking, tokenization, and alternate transit paths).",PROTECT / Data Security / Protection of Data in Transit,PR.DS-02.01,081.190,
AC-04,Access Control (AC),Information Flow Enforcement,"Enforce approved authorizations for controlling the flow of information within the system and between connected systems based on [Assignment: organization-defined information flow control policies].
",Semantic,Intersects with,7,7,"PR.DS-10.01: Data-in-use is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, masking, tokenization, visual shielding, memory integrity monitoring, etc.)",PROTECT / Data Security / Protection of Data in Use,PR.DS-10.01,082.191,
AC-04,Access Control (AC),Information Flow Enforcement,"Enforce approved authorizations for controlling the flow of information within the system and between connected systems based on [Assignment: organization-defined information flow control policies].
",Semantic,Intersects with,7,7,"PR.IR-01.01: Networks, systems, and external connections are segmented (e.g., using firewalls, software-defined networks, guest wireless networks, etc.) to implement defense-in-depth and access isolation principles.",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.01,093.224,
