,,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,
PS-01,Personnel Security (PS),Policy and Procedures,"a.  Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1.  [Selection (one or more): Organization-level; Mission/business process-level; System-level] personnel security policy that:
(a)  Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)  Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2.  Procedures to facilitate the implementation of the personnel security policy and the associated personnel security controls;
b.  Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the personnel security policy and procedures; and
c.  Review and update the current personnel security:
1.  Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2.  Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
",Semantic,Intersects with,7,9,"GV.PO-01.02: The accountable governing body, and applicable cybersecurity program and policies, for any given organizational unit, affiliate, or merged entity are clearly established, applied, and communicated.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.02,024.060,
PS-01,Personnel Security (PS),Policy and Procedures,"a.  Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1.  [Selection (one or more): Organization-level; Mission/business process-level; System-level] personnel security policy that:
(a)  Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)  Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2.  Procedures to facilitate the implementation of the personnel security policy and the associated personnel security controls;
b.  Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the personnel security policy and procedures; and
c.  Review and update the current personnel security:
1.  Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2.  Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
",Semantic,Equal,10,9,"GV.PO-01.05: Technology and cybersecurity processes, procedures, and controls are established in alignment with cybersecurity policy.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.05,024.063,
PS-01,Personnel Security (PS),Policy and Procedures,"a.  Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1.  [Selection (one or more): Organization-level; Mission/business process-level; System-level] personnel security policy that:
(a)  Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)  Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2.  Procedures to facilitate the implementation of the personnel security policy and the associated personnel security controls;
b.  Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the personnel security policy and procedures; and
c.  Review and update the current personnel security:
1.  Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2.  Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
",Semantic,Equal,10,9,"GV.PO-02.01: The cybersecurity policy is regularly reviewed, revised, and communicated under the leadership of a designated Cybersecurity Officer (e.g., CISO) to address changes in the risk profile and risk appetite, the evolving threat environment, and new technologies, products, services, and interdependencies.","GOVERN / Policies, Processes, and Procedures / Policy & Procedure Review & Update",GV.PO-02.01,025.067,
PS-02,Personnel Security (PS),Position Risk Designation,"a.  Assign a risk designation to all organizational positions;
b.  Establish screening criteria for individuals filling those positions; and
c.  Review and update position risk designations [Assignment: organization-defined frequency].
",Semantic,Subset of ,8,8,"GV.RR-04.01: The organization conducts (or causes the conduct of) background/screening checks on all personnel (employees and third party) upon hire/retention, at regular intervals throughout employment, and upon a change in role commensurate with their access to critical data and systems.","GOVERN / Roles, Responsibilities, and Authorities / Human Resource Practices",GV.RR-04.01,022.056,
PS-03,Personnel Security (PS),Personnel Screening,"a.  Screen individuals prior to authorizing access to the system; and
b.  Rescreen individuals in accordance with [Assignment: organization-defined conditions requiring rescreening and, where rescreening is so indicated, the frequency of rescreening].
",Semantic,Equal,10,10,"GV.RR-04.01: The organization conducts (or causes the conduct of) background/screening checks on all personnel (employees and third party) upon hire/retention, at regular intervals throughout employment, and upon a change in role commensurate with their access to critical data and systems.","GOVERN / Roles, Responsibilities, and Authorities / Human Resource Practices",GV.RR-04.01,022.056,
PS-04,Personnel Security (PS),Personnel Termination,"Upon termination of individual employment:
a.  Disable system access within [Assignment: organization-defined time period];
b.  Terminate or revoke any authenticators and credentials associated with the individual;
c.  Conduct exit interviews that include a discussion of [Assignment: organization-defined information security topics];
d.  Retrieve all security-related organizational system-related property; and
e.  Retain access to organizational information and systems formerly controlled by terminated individual.
",Semantic,Equal,10,10,"GV.RR-04.02: The organization establishes processes and controls to mitigate cyber risks related to employment termination, as permitted by law, to include the return or disposition of all organizational assets.","GOVERN / Roles, Responsibilities, and Authorities / Human Resource Practices",GV.RR-04.02,022.057,
PS-05,Personnel Security (PS),Personnel Transfer,"a.  Review and confirm ongoing operational need for current logical and physical access authorizations to systems and facilities when individuals are reassigned or transferred to other positions within the organization;
b.  Initiate [Assignment: organization-defined transfer or reassignment actions] within [Assignment: organization-defined time period following the formal transfer action];
c.  Modify access authorization as needed to correspond with any changes in operational need due to reassignment or transfer; and
d.  Notify [Assignment: organization-defined personnel or roles] within [Assignment: organization-defined time period].
",Semantic,No relationship,0,0,None,,None,,
PS-06,Personnel Security (PS),Access Agreements,"a.  Develop and document access agreements for organizational systems;
b.  Review and update the access agreements [Assignment: organization-defined frequency]; and
c.  Verify that individuals requiring access to organizational information and systems:
1.  Sign appropriate access agreements prior to being granted access; and
2.  Re-sign access agreements to maintain access to organizational systems when access agreements have been updated or [Assignment: organization-defined frequency].
",Semantic,Subset of ,8,9,"GV.PO-01.03: The organization's incentive programs are consistent with cyber risk management objectives, and technology and cybersecurity policies integrate with an employee accountability policy to ensure that all personnel are held accountable for complying with policies.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.03,024.061,
PS-06,Personnel Security (PS),Access Agreements,"a.  Develop and document access agreements for organizational systems;
b.  Review and update the access agreements [Assignment: organization-defined frequency]; and
c.  Verify that individuals requiring access to organizational information and systems:
1.  Sign appropriate access agreements prior to being granted access; and
2.  Re-sign access agreements to maintain access to organizational systems when access agreements have been updated or [Assignment: organization-defined frequency].
",Semantic,Subset of ,9,9,"GV.PO-01.04: All personnel (employees and third party) consent to policies addressing acceptable technology use, social media use, personal device use (e.g., BYOD), confidentiality, and/or other security-related policies and agreements as warranted by their position.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.04,024.062,
PS-07,Personnel Security (PS),External Personnel Security,"a.  Establish personnel security requirements, including security roles and responsibilities for external providers;
b.  Require external providers to comply with personnel security policies and procedures established by the organization;
c.  Document personnel security requirements;
d.  Require external providers to notify [Assignment: organization-defined personnel or roles] of any personnel transfers or terminations of external personnel who possess organizational credentials and/or badges, or who have system privileges within [Assignment: organization-defined time period]; and
e.  Monitor provider compliance with personnel security requirements.
",Semantic,Intersects with,9,10,"GV.RR-02.01: The roles, responsibilities, qualifications, and skill requirements for personnel (employees and third parties) that implement, manage, and oversee the technology, cybersecurity, and resilience programs are defined, aligned, coordinated, and holistically managed.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.01,020.046,
PS-07,Personnel Security (PS),External Personnel Security,"a.  Establish personnel security requirements, including security roles and responsibilities for external providers;
b.  Require external providers to comply with personnel security policies and procedures established by the organization;
c.  Document personnel security requirements;
d.  Require external providers to notify [Assignment: organization-defined personnel or roles] of any personnel transfers or terminations of external personnel who possess organizational credentials and/or badges, or who have system privileges within [Assignment: organization-defined time period]; and
e.  Monitor provider compliance with personnel security requirements.
",Semantic,Intersects with,7,10,"GV.RR-04.01: The organization conducts (or causes the conduct of) background/screening checks on all personnel (employees and third party) upon hire/retention, at regular intervals throughout employment, and upon a change in role commensurate with their access to critical data and systems.","GOVERN / Roles, Responsibilities, and Authorities / Human Resource Practices",GV.RR-04.01,022.056,
PS-07,Personnel Security (PS),External Personnel Security,"a.  Establish personnel security requirements, including security roles and responsibilities for external providers;
b.  Require external providers to comply with personnel security policies and procedures established by the organization;
c.  Document personnel security requirements;
d.  Require external providers to notify [Assignment: organization-defined personnel or roles] of any personnel transfers or terminations of external personnel who possess organizational credentials and/or badges, or who have system privileges within [Assignment: organization-defined time period]; and
e.  Monitor provider compliance with personnel security requirements.
",Semantic,Intersects with,8,10,"GV.PO-01.04: All personnel (employees and third party) consent to policies addressing acceptable technology use, social media use, personal device use (e.g., BYOD), confidentiality, and/or other security-related policies and agreements as warranted by their position.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.04,024.062,
PS-07,Personnel Security (PS),External Personnel Security,"a.  Establish personnel security requirements, including security roles and responsibilities for external providers;
b.  Require external providers to comply with personnel security policies and procedures established by the organization;
c.  Document personnel security requirements;
d.  Require external providers to notify [Assignment: organization-defined personnel or roles] of any personnel transfers or terminations of external personnel who possess organizational credentials and/or badges, or who have system privileges within [Assignment: organization-defined time period]; and
e.  Monitor provider compliance with personnel security requirements.
",Semantic,Intersects with,9,10,"GV.SC-02.01: The organization clearly defines, and includes in contractual agreements, the division of cybersecurity and technology risk management responsibilities between the organization and its third parties (e.g., a Shared Responsibilities Model).",GOVERN / Supply Chain Risk Management / Third Party Roles & Responsibilities,GV.SC-02.01,032.077,
PS-07,Personnel Security (PS),External Personnel Security,"a.  Establish personnel security requirements, including security roles and responsibilities for external providers;
b.  Require external providers to comply with personnel security policies and procedures established by the organization;
c.  Document personnel security requirements;
d.  Require external providers to notify [Assignment: organization-defined personnel or roles] of any personnel transfers or terminations of external personnel who possess organizational credentials and/or badges, or who have system privileges within [Assignment: organization-defined time period]; and
e.  Monitor provider compliance with personnel security requirements.
",Semantic,Superset of,8,10,"PR.AA-05.04: Specific roles, responsibilities, and procedures to manage the risk of third-party access to organizational systems and facilities are defined and implemented.","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.04,074.172,
PS-07,Personnel Security (PS),External Personnel Security,"a.  Establish personnel security requirements, including security roles and responsibilities for external providers;
b.  Require external providers to comply with personnel security policies and procedures established by the organization;
c.  Document personnel security requirements;
d.  Require external providers to notify [Assignment: organization-defined personnel or roles] of any personnel transfers or terminations of external personnel who possess organizational credentials and/or badges, or who have system privileges within [Assignment: organization-defined time period]; and
e.  Monitor provider compliance with personnel security requirements.
",Semantic,Superset of,8,10,PR.AT-02.05: All third party staff receive cybersecurity awareness and job training sufficient for them to perform their duties and maintain organizational security.,PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.05,078.183,
PS-07,Personnel Security (PS),External Personnel Security,"a.  Establish personnel security requirements, including security roles and responsibilities for external providers;
b.  Require external providers to comply with personnel security policies and procedures established by the organization;
c.  Document personnel security requirements;
d.  Require external providers to notify [Assignment: organization-defined personnel or roles] of any personnel transfers or terminations of external personnel who possess organizational credentials and/or badges, or who have system privileges within [Assignment: organization-defined time period]; and
e.  Monitor provider compliance with personnel security requirements.
",Semantic,Intersects with,7,10,DE.CM-06.02: The organization implements an explicit approval and logging process and sets up automated alerts to monitor and prevent any unauthorized access to a critical system by a third-party service provider.,DETECT / Continuous Monitoring / Service Provider Monitoring,DE.CM-06.02,102.247,
PS-08,Personnel Security (PS),Personnel Sanctions,"a.  Employ a formal sanctions process for individuals failing to comply with established information security and privacy policies and procedures; and
b.  Notify [Assignment: organization-defined personnel or roles] within [Assignment: organization-defined time period] when a formal employee sanctions process is initiated, identifying the individual sanctioned and the reason for the sanction.
",Semantic,Intersects with,10,10,"GV.PO-01.03: The organization's incentive programs are consistent with cyber risk management objectives, and technology and cybersecurity policies integrate with an employee accountability policy to ensure that all personnel are held accountable for complying with policies.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.03,024.061,
PT-01,PII Processing and Transparency (PT),Policy and Procedures,"a.  Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1.  [Selection (one or more): Organization-level; Mission/business process-level; System-level] personally identifiable information processing and transparency policy that:
(a)  Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)  Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2.  Procedures to facilitate the implementation of the personally identifiable information processing and transparency policy and the associated personally identifiable information processing and transparency controls;
b.  Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the personally identifiable information processing and transparency policy and procedures; and
c.  Review and update the current personally identifiable information processing and transparency:
1.  Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2.  Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
",Semantic,Intersects with,8,9,"GV.OC-03.01: The organization's technology and cybersecurity strategy, framework, and policies align and are consistent with the organization's legal, statutory, contractual, and regulatory obligations and ensure that compliance responsibilities are unambiguously assigned.","GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",GV.OC-03.01,005.005,
PT-01,PII Processing and Transparency (PT),Policy and Procedures,"a.  Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1.  [Selection (one or more): Organization-level; Mission/business process-level; System-level] personally identifiable information processing and transparency policy that:
(a)  Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)  Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2.  Procedures to facilitate the implementation of the personally identifiable information processing and transparency policy and the associated personally identifiable information processing and transparency controls;
b.  Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the personally identifiable information processing and transparency policy and procedures; and
c.  Review and update the current personally identifiable information processing and transparency:
1.  Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2.  Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
",Semantic,Equal,10,9,"GV.PO-01.01: Technology and cybersecurity policies are documented, maintained and approved by the governing authority (e.g., the Board or one of its committees) or a designated executive.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.01,024.059,
PT-01,PII Processing and Transparency (PT),Policy and Procedures,"a.  Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1.  [Selection (one or more): Organization-level; Mission/business process-level; System-level] personally identifiable information processing and transparency policy that:
(a)  Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)  Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2.  Procedures to facilitate the implementation of the personally identifiable information processing and transparency policy and the associated personally identifiable information processing and transparency controls;
b.  Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the personally identifiable information processing and transparency policy and procedures; and
c.  Review and update the current personally identifiable information processing and transparency:
1.  Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2.  Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
",Semantic,Intersects with,8,9,"GV.PO-01.02: The accountable governing body, and applicable cybersecurity program and policies, for any given organizational unit, affiliate, or merged entity are clearly established, applied, and communicated.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.02,024.060,
PT-01,PII Processing and Transparency (PT),Policy and Procedures,"a.  Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1.  [Selection (one or more): Organization-level; Mission/business process-level; System-level] personally identifiable information processing and transparency policy that:
(a)  Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)  Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2.  Procedures to facilitate the implementation of the personally identifiable information processing and transparency policy and the associated personally identifiable information processing and transparency controls;
b.  Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the personally identifiable information processing and transparency policy and procedures; and
c.  Review and update the current personally identifiable information processing and transparency:
1.  Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2.  Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
",Semantic,Equal,10,9,"GV.PO-01.05: Technology and cybersecurity processes, procedures, and controls are established in alignment with cybersecurity policy.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.05,024.063,
PT-01,PII Processing and Transparency (PT),Policy and Procedures,"a.  Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1.  [Selection (one or more): Organization-level; Mission/business process-level; System-level] personally identifiable information processing and transparency policy that:
(a)  Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)  Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2.  Procedures to facilitate the implementation of the personally identifiable information processing and transparency policy and the associated personally identifiable information processing and transparency controls;
b.  Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the personally identifiable information processing and transparency policy and procedures; and
c.  Review and update the current personally identifiable information processing and transparency:
1.  Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2.  Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
",Semantic,Equal,10,9,"GV.PO-02.01: The cybersecurity policy is regularly reviewed, revised, and communicated under the leadership of a designated Cybersecurity Officer (e.g., CISO) to address changes in the risk profile and risk appetite, the evolving threat environment, and new technologies, products, services, and interdependencies.","GOVERN / Policies, Processes, and Procedures / Policy & Procedure Review & Update",GV.PO-02.01,025.067,
PT-02,PII Processing and Transparency (PT),Authority to Process Personally Identifiable Information,"a.  Determine and document the [Assignment: organization-defined authority] that permits the [Assignment: organization-defined processing] of personally identifiable information; and
b.  Restrict the [Assignment: organization-defined processing] of personally identifiable information to only that which is authorized.
",Semantic,No relationship,0,0,None - Out of Scope,,None,,
PT-03,PII Processing and Transparency (PT),Personally Identifiable Information Processing Purposes,"a.  Identify and document the [Assignment: organization-defined purpose(s)] for processing personally identifiable information;
b.  Describe the purpose(s) in the public privacy notices and policies of the organization;
c.  Restrict the [Assignment: organization-defined processing] of personally identifiable information to only that which is compatible with the identified purpose(s); and
d.  Monitor changes in processing personally identifiable information and implement [Assignment: organization-defined mechanisms] to ensure that any changes are made in accordance with [Assignment: organization-defined requirements].
",Semantic,No relationship,0,0,None - Out of Scope,,None,,
PT-04,PII Processing and Transparency (PT),Consent,"Implement [Assignment: organization-defined tools or mechanisms] for individuals to consent to the processing of their personally identifiable information prior to its collection that facilitate individuals’ informed decision-making.
",Semantic,No relationship,0,0,None - Out of Scope,,None,,
PT-05,PII Processing and Transparency (PT),Privacy Notice,"Provide notice to individuals about the processing of personally identifiable information that:
a.  Is available to individuals upon first interacting with an organization, and subsequently at [Assignment: organization-defined frequency];
b.  Is clear and easy-to-understand, expressing information about personally identifiable information processing in plain language;
c.  Identifies the authority that authorizes the processing of personally identifiable information;
d.  Identifies the purposes for which personally identifiable information is to be processed; and
e.  Includes [Assignment: organization-defined information].
",Semantic,No relationship,0,0,None - Out of Scope,,None,,
PT-06,PII Processing and Transparency (PT),System of Records Notice,"For systems that process information that will be maintained in a Privacy Act system of records:
a.  Draft system of records notices in accordance with OMB guidance and submit new and significantly modified system of records notices to the OMB and appropriate congressional committees for advance review;
b.  Publish system of records notices in the Federal Register; and
c.  Keep system of records notices accurate, up-to-date, and scoped in accordance with policy.
",Semantic,No relationship,0,0,None - Out of Scope,,None,,
PT-07,PII Processing and Transparency (PT),Specific Categories of Personally Identifiable Information,"Apply [Assignment: organization-defined processing conditions] for specific categories of personally identifiable information.
",Semantic,No relationship,0,0,None - Out of Scope,,None,,
PT-08,PII Processing and Transparency (PT),Computer Matching Requirements,"When a system or organization processes information for the purpose of conducting a matching program:
a.  Obtain approval from the Data Integrity Board to conduct the matching program;
b.  Develop and enter into a computer matching agreement;
c.  Publish a matching notice in the Federal Register;
d.  Independently verify the information produced by the matching program before taking adverse action against an individual, if required; and
e.  Provide individuals with notice and an opportunity to contest the findings before taking adverse action against an individual.
",Semantic,No relationship,0,0,None - Out of Scope,,None,,
RA-01,Risk Assessment (RA),Policy and Procedures,"a.  Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1.  [Selection (one or more): Organization-level; Mission/business process-level; System-level] risk assessment policy that:
(a)  Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)  Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2.  Procedures to facilitate the implementation of the risk assessment policy and the associated risk assessment controls;
b.  Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the risk assessment policy and procedures; and
c.  Review and update the current risk assessment:
1.  Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2.  Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
",Semantic,Intersects with,7,9,"GV.OC-03.01: The organization's technology and cybersecurity strategy, framework, and policies align and are consistent with the organization's legal, statutory, contractual, and regulatory obligations and ensure that compliance responsibilities are unambiguously assigned.","GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",GV.OC-03.01,005.005,
RA-01,Risk Assessment (RA),Policy and Procedures,"a.  Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1.  [Selection (one or more): Organization-level; Mission/business process-level; System-level] risk assessment policy that:
(a)  Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)  Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2.  Procedures to facilitate the implementation of the risk assessment policy and the associated risk assessment controls;
b.  Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the risk assessment policy and procedures; and
c.  Review and update the current risk assessment:
1.  Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2.  Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
",Semantic,Equal,10,9,"GV.PO-01.01: Technology and cybersecurity policies are documented, maintained and approved by the governing authority (e.g., the Board or one of its committees) or a designated executive.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.01,024.059,
RA-01,Risk Assessment (RA),Policy and Procedures,"a.  Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1.  [Selection (one or more): Organization-level; Mission/business process-level; System-level] risk assessment policy that:
(a)  Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)  Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2.  Procedures to facilitate the implementation of the risk assessment policy and the associated risk assessment controls;
b.  Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the risk assessment policy and procedures; and
c.  Review and update the current risk assessment:
1.  Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2.  Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
",Semantic,Intersects with,7,9,"GV.PO-01.02: The accountable governing body, and applicable cybersecurity program and policies, for any given organizational unit, affiliate, or merged entity are clearly established, applied, and communicated.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.02,024.060,
RA-01,Risk Assessment (RA),Policy and Procedures,"a.  Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1.  [Selection (one or more): Organization-level; Mission/business process-level; System-level] risk assessment policy that:
(a)  Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)  Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2.  Procedures to facilitate the implementation of the risk assessment policy and the associated risk assessment controls;
b.  Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the risk assessment policy and procedures; and
c.  Review and update the current risk assessment:
1.  Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2.  Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
",Semantic,Equal,10,9,"GV.PO-01.05: Technology and cybersecurity processes, procedures, and controls are established in alignment with cybersecurity policy.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.05,024.063,
RA-01,Risk Assessment (RA),Policy and Procedures,"a.  Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1.  [Selection (one or more): Organization-level; Mission/business process-level; System-level] risk assessment policy that:
(a)  Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)  Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2.  Procedures to facilitate the implementation of the risk assessment policy and the associated risk assessment controls;
b.  Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the risk assessment policy and procedures; and
c.  Review and update the current risk assessment:
1.  Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2.  Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
",Semantic,Equal,10,9,"GV.PO-02.01: The cybersecurity policy is regularly reviewed, revised, and communicated under the leadership of a designated Cybersecurity Officer (e.g., CISO) to address changes in the risk profile and risk appetite, the evolving threat environment, and new technologies, products, services, and interdependencies.","GOVERN / Policies, Processes, and Procedures / Policy & Procedure Review & Update",GV.PO-02.01,025.067,
RA-02,Risk Assessment (RA),Security Categorization,"a.  Categorize the system and information it processes, stores, and transmits;
b.  Document the security categorization results, including supporting rationale, in the security plan for the system; and
c.  Verify that the authorizing official or authorizing official designated representative reviews and approves the security categorization decision.
",Semantic,Equal,9,9,"ID.AM-05.01: The organization establishes and maintains risk-based policies and procedures for the classification of hardware, software, and data assets based on sensitivity and criticality.",IDENTIFY / Asset Management / Asset Protection Prioritization,ID.AM-05.01,051.102,
RA-02,Risk Assessment (RA),Security Categorization,"a.  Categorize the system and information it processes, stores, and transmits;
b.  Document the security categorization results, including supporting rationale, in the security plan for the system; and
c.  Verify that the authorizing official or authorizing official designated representative reviews and approves the security categorization decision.
",Semantic,Intersects with,8,9,"ID.AM-05.02: The organization's hardware, software, and data assets are prioritized for protection based on their sensitivity, criticality, vulnerability, business value, and dependency role in the delivery of critical services.",IDENTIFY / Asset Management / Asset Protection Prioritization,ID.AM-05.02,051.103,
RA-03,Risk Assessment (RA),Risk Assessment,"a.  Conduct a risk assessment, including:
1.  Identifying threats to and vulnerabilities in the system;
2.  Determining the likelihood and magnitude of harm from unauthorized access, use, disclosure, disruption, modification, or destruction of the system, the information it processes, stores, or transmits, and any related information; and
3.  Determining the likelihood and impact of adverse effects on individuals arising from the processing of personally identifiable information;
b.  Integrate risk assessment results and risk management decisions from the organization and mission or business process perspectives with system-level risk assessments;
c.  Document risk assessment results in [Selection (one): security and privacy plans; risk assessment report; [Assignment: organization-defined document]];
d.  Review risk assessment results [Assignment: organization-defined frequency];
e.  Disseminate risk assessment results to [Assignment: organization-defined personnel or roles]; and
f.  Update the risk assessment [Assignment: organization-defined frequency] or when there are significant changes to the system, its environment of operation, or other conditions that may impact the security or privacy state of the system.
",Semantic,Subset of ,9,10,"GV.RM-01.04: Technology and cybersecurity risk management programs incorporate risk identification, measurement, monitoring, and reporting.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.04,009.018,
