,,,CRI Profile ver. 2.1 Response Distribution Summary,CRI Profile ver. 2.1 Response Distribution Summary,CRI Profile ver. 2.1 Response Distribution Summary,CRI Profile ver. 2.1 Response Distribution Summary,CRI Profile ver. 2.1 Response Distribution Summary,CRI Profile ver. 2.1 Response Distribution Summary,,,,
,,,,Response Distribution,Response Distribution,Response Distribution,Response Distribution,Response Distribution,Response Distribution,Response Distribution,Response Distribution,Response Distribution
112,C,RS.MA,Incident Management,0,0,0,0,0,0,0,4,1
113,S,RS.MA-01,Response Plan Execution,0,0,0,0,0,0,0,1,0
114,S,RS.MA-02,Incident Triage & Validation,0,0,0,0,0,0,0,1,0
115,S,RS.MA-03,Incident Categorization & Prioritization,0,0,0,0,0,0,0,1,0
116,S,RS.MA-04,Incident Escalation,0,0,0,0,0,0,0,0,1
117,S,RS.MA-05,Recovery Initiation,0,0,0,0,0,0,0,1,0
118,C,RS.AN,Incident Analysis,0,0,0,0,0,0,0,2,2
119,S,RS.AN-03,Incident Analysis & Root Cause Determination,0,0,0,0,0,0,0,1,0
120,S,RS.AN-06,Investigation Documentation,0,0,0,0,0,0,0,0,1
121,S,RS.AN-07,Incident Data Collection & Preservation,0,0,0,0,0,0,0,0,1
122,S,RS.AN-08,Incident Magnitude Determination,0,0,0,0,0,0,0,1,0
123,C,RS.CO,Incident Response Reporting and Communication,0,0,0,0,0,0,0,4,1
124,S,RS.CO-02,Stakeholder Incident Notification,0,0,0,0,0,0,0,3,0
125,S,RS.CO-03,Stakeholder Incident Information Sharing,0,0,0,0,0,0,0,1,1
126,C,RS.MI,Incident Mitigation,0,0,0,0,0,0,0,2,0
127,S,RS.MI-01,Incident Containment,0,0,0,0,0,0,0,1,0
128,S,RS.MI-02,Incident Eradication,0,0,0,0,0,0,0,1,0
129,F,RC,RECOVER,0,0,0,0,0,0,0,10,1
130,C,RC.RP,Incident Recovery Plan Execution,0,0,0,0,0,0,0,7,1
131,S,RC.RP-01,Recovery Plan Execution,0,0,0,0,0,0,0,1,0
132,S,RC.RP-02,Recovery Action Performance,0,0,0,0,0,0,0,2,0
133,S,RC.RP-03,Backup & Restoration Asset Integrity,0,0,0,0,0,0,0,1,0
134,S,RC.RP-04,Post-Incident Operational Norms,0,0,0,0,0,0,0,1,0
135,S,RC.RP-05,Asset Integrity Restoration,0,0,0,0,0,0,0,1,1
136,S,RC.RP-06,End-of-Incident Determination,0,0,0,0,0,0,0,1,0
137,C,RC.CO,Incident Recovery Communication,0,0,0,0,0,0,0,3,0
138,S,RC.CO-03,Recovery Activity Communication,0,0,0,0,0,0,0,2,0
139,S,RC.CO-04,Public Information Sharing,0,0,0,0,0,0,0,1,0
140,F,EX,EXTEND,0,0,0,0,0,0,0,22,10
141,C,EX.DD,Procurement Planning and Due Diligence,0,0,0,0,0,0,0,8,4
142,S,EX.DD-01,Procurement Planning,0,0,0,0,0,0,0,0,3
143,S,EX.DD-02,Prospective Third Party Due Diligence,0,0,0,0,0,0,0,4,0
144,S,EX.DD-03,Technology & Cybersecurity Due Diligence,0,0,0,0,0,0,0,3,0
145,S,EX.DD-04,Product & Service Due Diligence,0,0,0,0,0,0,0,1,1
146,C,EX.CN,Third-Party Contracts and Agreements,0,0,0,0,0,0,0,7,0
147,S,EX.CN-01,Contract General Requirements,0,0,0,0,0,0,0,3,0
148,S,EX.CN-02,Contract Cybersecurity-Related Requirements,0,0,0,0,0,0,0,4,0
149,C,EX.MM,Monitoring and Managing Suppliers,0,0,0,0,0,0,0,6,3
150,S,EX.MM-01,Ongoing Third-Party Monitoring,0,0,0,0,0,0,0,4,2
151,S,EX.MM-02,Ongoing Third-Party Management,0,0,0,0,0,0,0,2,1
152,C,EX.TR,Relationship Termination,0,0,0,0,0,0,0,1,3
153,S,EX.TR-01,Termination Planning,0,0,0,0,0,0,0,0,3
154,S,EX.TR-02,Termination Practices,0,0,0,0,0,0,0,1,0
