,"JFSA (Financial Services Agency, Japan) Comprehensive Guidelines for Supervision of Major Banks (June 2021)
to CRI Profile ver. 2.1 Mapping","JFSA (Financial Services Agency, Japan) Comprehensive Guidelines for Supervision of Major Banks (June 2021)
to CRI Profile ver. 2.1 Mapping","JFSA (Financial Services Agency, Japan) Comprehensive Guidelines for Supervision of Major Banks (June 2021)
to CRI Profile ver. 2.1 Mapping","JFSA (Financial Services Agency, Japan) Comprehensive Guidelines for Supervision of Major Banks (June 2021)
to CRI Profile ver. 2.1 Mapping","JFSA (Financial Services Agency, Japan) Comprehensive Guidelines for Supervision of Major Banks (June 2021)
to CRI Profile ver. 2.1 Mapping","JFSA (Financial Services Agency, Japan) Comprehensive Guidelines for Supervision of Major Banks (June 2021)
to CRI Profile ver. 2.1 Mapping","JFSA (Financial Services Agency, Japan) Comprehensive Guidelines for Supervision of Major Banks (June 2021)
to CRI Profile ver. 2.1 Mapping","JFSA (Financial Services Agency, Japan) Comprehensive Guidelines for Supervision of Major Banks (June 2021)
to CRI Profile ver. 2.1 Mapping",,
JFSA Comprehensive Guidelines for Supervision of Major Banks (Provisional Translation) (June 2021),JFSA Comprehensive Guidelines for Supervision of Major Banks (Provisional Translation) (June 2021),JFSA Comprehensive Guidelines for Supervision of Major Banks (Provisional Translation) (June 2021),JFSA Comprehensive Guidelines for Supervision of Major Banks (Provisional Translation) (June 2021),Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
Document Section,Subsection,JFSA Id,JFSA Statement,Rationale,Relationship,AS,FCS,CRI Profile ver. 2.1 Diagnostic Statement,Profile Subsection,Profile Id
III-3-7-1 Information Technology (IT) System Risk / III-3-7-1-2 Major Supervisory Viewpoints,(1)(ii) Recognition of IT system risk,JFSA-02,"Whether the representative director has recognized that prevention and efforts for rapid recovery from an IT system failure and cybersecurity incident (hereinafter referred to as ""system failure"") is an important issue for the management of the bank, and developed an appropriate control environment. ",Semantic,Superset of,7,10,"GV.SC-08.01: The organization's resilience strategy, plans, tests, and exercises incorporate its external dependencies and critical business partners.",GOVERN / Supply Chain Risk Management / Third Party Incident Management Integration,GV.SC-08.01
III-3-7-1 Information Technology (IT) System Risk / III-3-7-1-2 Major Supervisory Viewpoints,(1)(ii) Recognition of IT system risk,JFSA-02,"Whether the representative director has recognized that prevention and efforts for rapid recovery from an IT system failure and cybersecurity incident (hereinafter referred to as ""system failure"") is an important issue for the management of the bank, and developed an appropriate control environment. ",Semantic,Superset of,7,10,ID.RA-02.02: The organization shares authorized information on its cyber resilience framework and the effectiveness of protection technologies bilaterally with trusted external stakeholders to promote the understanding of each party’s approach to securing systems.,IDENTIFY / Risk Assessment / Information Sharing Forums,ID.RA-02.02
III-3-7-1 Information Technology (IT) System Risk / III-3-7-1-2 Major Supervisory Viewpoints,(1)(ii) Recognition of IT system risk,JFSA-02,"Whether the representative director has recognized that prevention and efforts for rapid recovery from an IT system failure and cybersecurity incident (hereinafter referred to as ""system failure"") is an important issue for the management of the bank, and developed an appropriate control environment. ",Semantic,Superset of,6,10,"ID.IM-02.04: The organization's testing program validates the effectiveness of its resilience strategy and response, disaster recovery, and resumption plans on a regular basis or upon major changes to business or system functions, and includes external stakeholders as required.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.04
III-3-7-1 Information Technology (IT) System Risk / III-3-7-1-2 Major Supervisory Viewpoints,(1)(ii) Recognition of IT system risk,JFSA-02,"Whether the representative director has recognized that prevention and efforts for rapid recovery from an IT system failure and cybersecurity incident (hereinafter referred to as ""system failure"") is an important issue for the management of the bank, and developed an appropriate control environment. ",Semantic,Superset of,6,10,"ID.IM-02.05: The organization establishes testing programs that include a range of scenarios, including severe but plausible scenarios (e.g., disruptive, destructive, corruptive), that could affect the organization's ability to service internal and external stakeholders.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.05
III-3-7-1 Information Technology (IT) System Risk / III-3-7-1-2 Major Supervisory Viewpoints,(1)(ii) Recognition of IT system risk,JFSA-02,"Whether the representative director has recognized that prevention and efforts for rapid recovery from an IT system failure and cybersecurity incident (hereinafter referred to as ""system failure"") is an important issue for the management of the bank, and developed an appropriate control environment. ",Semantic,Superset of,7,10,"ID.IM-02.06: The organization designs and tests its systems and processes, and employs third-party support resources (e.g., Sheltered Harbor), to enable recovery of accurate data (e.g., material financial transactions) sufficient to support defined business recovery time and recovery point objectives.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.06
III-3-7-1 Information Technology (IT) System Risk / III-3-7-1-2 Major Supervisory Viewpoints,(1)(ii) Recognition of IT system risk,JFSA-02,"Whether the representative director has recognized that prevention and efforts for rapid recovery from an IT system failure and cybersecurity incident (hereinafter referred to as ""system failure"") is an important issue for the management of the bank, and developed an appropriate control environment. ",Semantic,Superset of,7,10,"ID.IM-02.07: The organization's governing body (e.g., the Board or one of its committees) and senior management are involved in testing as part of a crisis management team and are informed of test results.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.07
III-3-7-1 Information Technology (IT) System Risk / III-3-7-1-2 Major Supervisory Viewpoints,(1)(ii) Recognition of IT system risk,JFSA-02,"Whether the representative director has recognized that prevention and efforts for rapid recovery from an IT system failure and cybersecurity incident (hereinafter referred to as ""system failure"") is an important issue for the management of the bank, and developed an appropriate control environment. ",Semantic,Superset of,6,10,"ID.IM-02.08: The organization tests and exercises, independently and in coordination with other critical sector partners, its ability to support sector-wide resilience in the event of extreme financial stress or the instability of external dependencies, such as connectivity to markets, payment systems, clearing entities, messaging services, etc.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.08
III-3-7-1 Information Technology (IT) System Risk / III-3-7-1-2 Major Supervisory Viewpoints,(1)(ii) Recognition of IT system risk,JFSA-02,"Whether the representative director has recognized that prevention and efforts for rapid recovery from an IT system failure and cybersecurity incident (hereinafter referred to as ""system failure"") is an important issue for the management of the bank, and developed an appropriate control environment. ",Semantic,Intersects with,5,10,"ID.IM-02.09: Corrective actions for gaps identified during security-related, incident management, response plan, and disaster recovery testing are retested and validated, or have a formal risk acceptance or risk exception.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.09
III-3-7-1 Information Technology (IT) System Risk / III-3-7-1-2 Major Supervisory Viewpoints,(1)(ii) Recognition of IT system risk,JFSA-02,"Whether the representative director has recognized that prevention and efforts for rapid recovery from an IT system failure and cybersecurity incident (hereinafter referred to as ""system failure"") is an important issue for the management of the bank, and developed an appropriate control environment. ",Semantic,Intersects with,5,10,"ID.IM-04.01: The organization's business continuity, disaster recovery, crisis management, and response plans are in place and managed, aligned with each other, and incorporate considerations of cyber incidents.",IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.01
III-3-7-1 Information Technology (IT) System Risk / III-3-7-1-2 Major Supervisory Viewpoints,(1)(ii) Recognition of IT system risk,JFSA-02,"Whether the representative director has recognized that prevention and efforts for rapid recovery from an IT system failure and cybersecurity incident (hereinafter referred to as ""system failure"") is an important issue for the management of the bank, and developed an appropriate control environment. ",Semantic,Superset of,7,10,"ID.IM-04.05: Recovery plans include restoration of resilience following a long term loss of capability (e.g., at an alternate site or a third-party), detailing when the plan should be activated and implementation steps.",IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.05
