,"FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)		
to CRI Profile ver. 2.1 Mapping","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)		
to CRI Profile ver. 2.1 Mapping","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)		
to CRI Profile ver. 2.1 Mapping","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)		
to CRI Profile ver. 2.1 Mapping","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)		
to CRI Profile ver. 2.1 Mapping","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)		
to CRI Profile ver. 2.1 Mapping","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)		
to CRI Profile ver. 2.1 Mapping",,
"FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)",Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
FFIEC AIO Objective Area,Objective Id,FFIEC AIO Objective Statement,Rationale,Relationship,AS,FCS,CRI Profile ver. 2.1 Diagnostic Statement,Profile Subcetegory,Profile Id
"Objective #12: Management designs, applies, and aligns its IT architecture to meet the strategic and business objectives of the enterprise.",FFIEC-AIO-12.01,"Management should establish enterprise-wide architecture principles that balance the mitigation of risks to various stakeholders and align with the entity’s strategic goals and business objectives; meet the entity’s needs for confidentiality, integrity, and availability; and adhere to the entity’s policies, standards, and procedures. Determine whether the architecture design involves the following:
a. Consideration of the entity’s architecture requirements for its existing technology and any planned changes.
b. Understanding by business units of their portion of the design.
c. Alignment with management’s defined mission and any strategic initiatives for architecture.
d. Identification of the entity’s IT assets, external constraints, industry IT architecture trends, and the entity’s needs for the desired future state.",Semantic,Superset of,7,8,"GV.RM-09.01: The organization has an enterprise-wide resilience strategy and program, including architecture, cyber resilience, business continuity, disaster recovery, and incident response, which support its mission, stakeholder obligations, critical infrastructure role, and risk appetite.",GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management,GV.RM-09.01
"Objective #12: Management designs, applies, and aligns its IT architecture to meet the strategic and business objectives of the enterprise.",FFIEC-AIO-12.01,"Management should establish enterprise-wide architecture principles that balance the mitigation of risks to various stakeholders and align with the entity’s strategic goals and business objectives; meet the entity’s needs for confidentiality, integrity, and availability; and adhere to the entity’s policies, standards, and procedures. Determine whether the architecture design involves the following:
a. Consideration of the entity’s architecture requirements for its existing technology and any planned changes.
b. Understanding by business units of their portion of the design.
c. Alignment with management’s defined mission and any strategic initiatives for architecture.
d. Identification of the entity’s IT assets, external constraints, industry IT architecture trends, and the entity’s needs for the desired future state.",Semantic,Superset of,4,8,"ID.RA-07.03: Technology projects and system change processes ensure that requisite changes in security posture, data classification and flows, architecture, support documentation, business processes, and business resilience plans are addressed.",IDENTIFY / Risk Assessment / Change & Exception Management,ID.RA-07.03
"Objective #12: Management designs, applies, and aligns its IT architecture to meet the strategic and business objectives of the enterprise.",FFIEC-AIO-12.01,"Management should establish enterprise-wide architecture principles that balance the mitigation of risks to various stakeholders and align with the entity’s strategic goals and business objectives; meet the entity’s needs for confidentiality, integrity, and availability; and adhere to the entity’s policies, standards, and procedures. Determine whether the architecture design involves the following:
a. Consideration of the entity’s architecture requirements for its existing technology and any planned changes.
b. Understanding by business units of their portion of the design.
c. Alignment with management’s defined mission and any strategic initiatives for architecture.
d. Identification of the entity’s IT assets, external constraints, industry IT architecture trends, and the entity’s needs for the desired future state.",Semantic,Superset of,6,8,"PR.PS-06.03: Functional, operational, resilience, and security requirements for system development and implementation projects are documented, agreed to by relevant stakeholders, and tracked and managed through development, testing, assurance, acceptance, and delivery.",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.03
"Objective #12: Management designs, applies, and aligns its IT architecture to meet the strategic and business objectives of the enterprise.",FFIEC-AIO-12.02,"Management should have policies, standards, and procedures to govern the entity’s architecture design process and whether the design process addresses the following: 
a. Definition of responsibilities and decision-making. 
b. Identification of functional requirements. 
c. Assessment of alignment with the entity’s IT and strategic plans. 
d. Evaluation of the inventory of current IT assets and the purpose of those assets. 
e. Performance of a cost-benefit analysis of the architecture plan or project. 
f. Acquisition of approvals for the initiative. 
g. Implementation and maintenance of the architecture. 
h. Resolution of disputes or architectural issues.",Semantic,Superset of,4,8,"GV.OC-01.01: Technology and cybersecurity strategies, architectures, and programs are formally governed to align with and support the organization's mission, objectives, priorities, tactical initiatives, and risk profile.",GOVERN / Organizational Context / Organizational Mission,GV.OC-01.01
"Objective #12: Management designs, applies, and aligns its IT architecture to meet the strategic and business objectives of the enterprise.",FFIEC-AIO-12.02,"Management should have policies, standards, and procedures to govern the entity’s architecture design process and whether the design process addresses the following: 
a. Definition of responsibilities and decision-making. 
b. Identification of functional requirements. 
c. Assessment of alignment with the entity’s IT and strategic plans. 
d. Evaluation of the inventory of current IT assets and the purpose of those assets. 
e. Performance of a cost-benefit analysis of the architecture plan or project. 
f. Acquisition of approvals for the initiative. 
g. Implementation and maintenance of the architecture. 
h. Resolution of disputes or architectural issues.",Semantic,Superset of,8,8,"GV.RM-07.01: The organization has mechanisms in place to ensure that strategies, initiatives, opportunities, and emerging technologies (e.g., artificial intelligence, quantum computing, etc.) are evaluated both in terms of risks and uncertainties that are potentially detrimental to the organization, as well as potentially advantageous to the organization (i.e., positive risks).",GOVERN / Risk Management Strategy / Strategic Opportunities,GV.RM-07.01
"Objective #12: Management designs, applies, and aligns its IT architecture to meet the strategic and business objectives of the enterprise.",FFIEC-AIO-12.02,"Management should have policies, standards, and procedures to govern the entity’s architecture design process and whether the design process addresses the following: 
a. Definition of responsibilities and decision-making. 
b. Identification of functional requirements. 
c. Assessment of alignment with the entity’s IT and strategic plans. 
d. Evaluation of the inventory of current IT assets and the purpose of those assets. 
e. Performance of a cost-benefit analysis of the architecture plan or project. 
f. Acquisition of approvals for the initiative. 
g. Implementation and maintenance of the architecture. 
h. Resolution of disputes or architectural issues.",Semantic,Superset of,8,8,"GV.RM-08.01: Technology and cybersecurity risk management frameworks are applied to, and are adapted as needed by, the organization's innovations in technology use and adoption of emerging technologies.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.01
"Objective #12: Management designs, applies, and aligns its IT architecture to meet the strategic and business objectives of the enterprise.",FFIEC-AIO-12.02,"Management should have policies, standards, and procedures to govern the entity’s architecture design process and whether the design process addresses the following: 
a. Definition of responsibilities and decision-making. 
b. Identification of functional requirements. 
c. Assessment of alignment with the entity’s IT and strategic plans. 
d. Evaluation of the inventory of current IT assets and the purpose of those assets. 
e. Performance of a cost-benefit analysis of the architecture plan or project. 
f. Acquisition of approvals for the initiative. 
g. Implementation and maintenance of the architecture. 
h. Resolution of disputes or architectural issues.",Semantic,Superset of,8,8,"GV.RM-08.02: Technology and cybersecurity risk management frameworks are applied to all technology projects and procurements to ensure that security requirements (e.g., data confidentiality, access control, event logging, etc.) are addressed consistently from project onset.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.02
"Objective #12: Management designs, applies, and aligns its IT architecture to meet the strategic and business objectives of the enterprise.",FFIEC-AIO-12.02,"Management should have policies, standards, and procedures to govern the entity’s architecture design process and whether the design process addresses the following: 
a. Definition of responsibilities and decision-making. 
b. Identification of functional requirements. 
c. Assessment of alignment with the entity’s IT and strategic plans. 
d. Evaluation of the inventory of current IT assets and the purpose of those assets. 
e. Performance of a cost-benefit analysis of the architecture plan or project. 
f. Acquisition of approvals for the initiative. 
g. Implementation and maintenance of the architecture. 
h. Resolution of disputes or architectural issues.",Semantic,Superset of,8,8,"GV.RM-08.03: The organization defines, maintains, and uses technical security standards, architectures, processes or practices (including automated tools when practical) to ensure the security of its applications and infrastructure.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.03
"Objective #12: Management designs, applies, and aligns its IT architecture to meet the strategic and business objectives of the enterprise.",FFIEC-AIO-12.02,"Management should have policies, standards, and procedures to govern the entity’s architecture design process and whether the design process addresses the following: 
a. Definition of responsibilities and decision-making. 
b. Identification of functional requirements. 
c. Assessment of alignment with the entity’s IT and strategic plans. 
d. Evaluation of the inventory of current IT assets and the purpose of those assets. 
e. Performance of a cost-benefit analysis of the architecture plan or project. 
f. Acquisition of approvals for the initiative. 
g. Implementation and maintenance of the architecture. 
h. Resolution of disputes or architectural issues.",Semantic,Superset of,4,8,"GV.RM-08.04: The organization integrates the use of technology architecture in its governance processes to support consistent approaches to security and technology design, integration of third party services, consideration and adoption of new technologies, and investment and procurement decisioning.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.04
"Objective #12: Management designs, applies, and aligns its IT architecture to meet the strategic and business objectives of the enterprise.",FFIEC-AIO-12.02,"Management should have policies, standards, and procedures to govern the entity’s architecture design process and whether the design process addresses the following: 
a. Definition of responsibilities and decision-making. 
b. Identification of functional requirements. 
c. Assessment of alignment with the entity’s IT and strategic plans. 
d. Evaluation of the inventory of current IT assets and the purpose of those assets. 
e. Performance of a cost-benefit analysis of the architecture plan or project. 
f. Acquisition of approvals for the initiative. 
g. Implementation and maintenance of the architecture. 
h. Resolution of disputes or architectural issues.",Semantic,Superset of,3,8,"GV.RM-08.05: The technology architecture and associated management processes should be comprehensive (e.g., consider the full life cycle of infrastructure, applications, emerging technologies, and relevant data) and designed to achieve security and resilience commensurate with business needs.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.05
"Objective #12: Management designs, applies, and aligns its IT architecture to meet the strategic and business objectives of the enterprise.",FFIEC-AIO-12.02,"Management should have policies, standards, and procedures to govern the entity’s architecture design process and whether the design process addresses the following: 
a. Definition of responsibilities and decision-making. 
b. Identification of functional requirements. 
c. Assessment of alignment with the entity’s IT and strategic plans. 
d. Evaluation of the inventory of current IT assets and the purpose of those assets. 
e. Performance of a cost-benefit analysis of the architecture plan or project. 
f. Acquisition of approvals for the initiative. 
g. Implementation and maintenance of the architecture. 
h. Resolution of disputes or architectural issues.",Semantic,Superset of,8,8,"GV.RM-08.06: Technology programs and projects are formally governed and stakeholder engagement is managed to facilitate effective communication, awareness, credible challenge, and decision-making.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.06
"Objective #12: Management designs, applies, and aligns its IT architecture to meet the strategic and business objectives of the enterprise.",FFIEC-AIO-12.02,"Management should have policies, standards, and procedures to govern the entity’s architecture design process and whether the design process addresses the following: 
a. Definition of responsibilities and decision-making. 
b. Identification of functional requirements. 
c. Assessment of alignment with the entity’s IT and strategic plans. 
d. Evaluation of the inventory of current IT assets and the purpose of those assets. 
e. Performance of a cost-benefit analysis of the architecture plan or project. 
f. Acquisition of approvals for the initiative. 
g. Implementation and maintenance of the architecture. 
h. Resolution of disputes or architectural issues.",Semantic,Superset of,7,8,"ID.RA-07.03: Technology projects and system change processes ensure that requisite changes in security posture, data classification and flows, architecture, support documentation, business processes, and business resilience plans are addressed.",IDENTIFY / Risk Assessment / Change & Exception Management,ID.RA-07.03
"Objective #12: Management designs, applies, and aligns its IT architecture to meet the strategic and business objectives of the enterprise.",FFIEC-AIO-12.02,"Management should have policies, standards, and procedures to govern the entity’s architecture design process and whether the design process addresses the following: 
a. Definition of responsibilities and decision-making. 
b. Identification of functional requirements. 
c. Assessment of alignment with the entity’s IT and strategic plans. 
d. Evaluation of the inventory of current IT assets and the purpose of those assets. 
e. Performance of a cost-benefit analysis of the architecture plan or project. 
f. Acquisition of approvals for the initiative. 
g. Implementation and maintenance of the architecture. 
h. Resolution of disputes or architectural issues.",Semantic,Superset of,3,8,"PR.PS-06.03: Functional, operational, resilience, and security requirements for system development and implementation projects are documented, agreed to by relevant stakeholders, and tracked and managed through development, testing, assurance, acceptance, and delivery.",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.03
"Objective #12: Management designs, applies, and aligns its IT architecture to meet the strategic and business objectives of the enterprise.",FFIEC-AIO-12.02,"Management should have policies, standards, and procedures to govern the entity’s architecture design process and whether the design process addresses the following: 
a. Definition of responsibilities and decision-making. 
b. Identification of functional requirements. 
c. Assessment of alignment with the entity’s IT and strategic plans. 
d. Evaluation of the inventory of current IT assets and the purpose of those assets. 
e. Performance of a cost-benefit analysis of the architecture plan or project. 
f. Acquisition of approvals for the initiative. 
g. Implementation and maintenance of the architecture. 
h. Resolution of disputes or architectural issues.",Semantic,Superset of,7,8,"EX.DD-01.01: Documented procurement plans are developed for initiatives involving elevated business, technical, or cybersecurity risk in order to establish criteria for the evaluation and selection of a supplier, and any special requirements for organizational preparation, supplier due diligence, and contract terms.",EXTEND / Procurement Planning and Due Diligence / Procurement Planning,EX.DD-01.01
"Objective #12: Management designs, applies, and aligns its IT architecture to meet the strategic and business objectives of the enterprise.",FFIEC-AIO-12.02,"Management should have policies, standards, and procedures to govern the entity’s architecture design process and whether the design process addresses the following: 
a. Definition of responsibilities and decision-making. 
b. Identification of functional requirements. 
c. Assessment of alignment with the entity’s IT and strategic plans. 
d. Evaluation of the inventory of current IT assets and the purpose of those assets. 
e. Performance of a cost-benefit analysis of the architecture plan or project. 
f. Acquisition of approvals for the initiative. 
g. Implementation and maintenance of the architecture. 
h. Resolution of disputes or architectural issues.",Semantic,Superset of,7,8,"EX.DD-01.02: Procurement plans address the inherent risks of the planned activity, to include the complexity of the endeavor in terms of technology, scope, and novelty, and demonstrate that the potential business and financial benefits outweigh the costs to control the anticipated risks.",EXTEND / Procurement Planning and Due Diligence / Procurement Planning,EX.DD-01.02
"Objective #12: Management designs, applies, and aligns its IT architecture to meet the strategic and business objectives of the enterprise.",FFIEC-AIO-12.03,"Evaluate the adequacy of the entity’s documented and approved architecture plan. Consider whether management considers the following in relationship to the plan:
a. Alignment with the entity’s strategic plan and support for the business and strategic objectives of the entity.
b. Development of policies, standards, and procedures to govern architecture initiatives and changes to the architecture plan.
c. Inclusion of processes for obtaining approvals, making changes to the plan, and reporting, as appropriate.
d. Alignment of the formality of the architecture plan and processes with number and complexity of the architecture initiatives.
e. For larger or more complex architecture changes, maintenance of a project management process that includes the following:
- Planning.
- Execution.
- Closeout.",Semantic,Superset of,4,7,"GV.OC-01.01: Technology and cybersecurity strategies, architectures, and programs are formally governed to align with and support the organization's mission, objectives, priorities, tactical initiatives, and risk profile.",GOVERN / Organizational Context / Organizational Mission,GV.OC-01.01
"Objective #12: Management designs, applies, and aligns its IT architecture to meet the strategic and business objectives of the enterprise.",FFIEC-AIO-12.03,"Evaluate the adequacy of the entity’s documented and approved architecture plan. Consider whether management considers the following in relationship to the plan:
a. Alignment with the entity’s strategic plan and support for the business and strategic objectives of the entity.
b. Development of policies, standards, and procedures to govern architecture initiatives and changes to the architecture plan.
c. Inclusion of processes for obtaining approvals, making changes to the plan, and reporting, as appropriate.
d. Alignment of the formality of the architecture plan and processes with number and complexity of the architecture initiatives.
e. For larger or more complex architecture changes, maintenance of a project management process that includes the following:
- Planning.
- Execution.
- Closeout.",Semantic,Superset of,4,7,"GV.RM-08.05: The technology architecture and associated management processes should be comprehensive (e.g., consider the full life cycle of infrastructure, applications, emerging technologies, and relevant data) and designed to achieve security and resilience commensurate with business needs.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.05
"Objective #12: Management designs, applies, and aligns its IT architecture to meet the strategic and business objectives of the enterprise.",FFIEC-AIO-12.03,"Evaluate the adequacy of the entity’s documented and approved architecture plan. Consider whether management considers the following in relationship to the plan:
a. Alignment with the entity’s strategic plan and support for the business and strategic objectives of the entity.
b. Development of policies, standards, and procedures to govern architecture initiatives and changes to the architecture plan.
c. Inclusion of processes for obtaining approvals, making changes to the plan, and reporting, as appropriate.
d. Alignment of the formality of the architecture plan and processes with number and complexity of the architecture initiatives.
e. For larger or more complex architecture changes, maintenance of a project management process that includes the following:
- Planning.
- Execution.
- Closeout.",Semantic,Superset of,3,7,"ID.RA-07.03: Technology projects and system change processes ensure that requisite changes in security posture, data classification and flows, architecture, support documentation, business processes, and business resilience plans are addressed.",IDENTIFY / Risk Assessment / Change & Exception Management,ID.RA-07.03
"Objective #12: Management designs, applies, and aligns its IT architecture to meet the strategic and business objectives of the enterprise.",FFIEC-AIO-12.03,"Evaluate the adequacy of the entity’s documented and approved architecture plan. Consider whether management considers the following in relationship to the plan:
a. Alignment with the entity’s strategic plan and support for the business and strategic objectives of the entity.
b. Development of policies, standards, and procedures to govern architecture initiatives and changes to the architecture plan.
c. Inclusion of processes for obtaining approvals, making changes to the plan, and reporting, as appropriate.
d. Alignment of the formality of the architecture plan and processes with number and complexity of the architecture initiatives.
e. For larger or more complex architecture changes, maintenance of a project management process that includes the following:
- Planning.
- Execution.
- Closeout.",Semantic,Superset of,7,7,"PR.PS-06.03: Functional, operational, resilience, and security requirements for system development and implementation projects are documented, agreed to by relevant stakeholders, and tracked and managed through development, testing, assurance, acceptance, and delivery.",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.03
"Objective #12: Management designs, applies, and aligns its IT architecture to meet the strategic and business objectives of the enterprise.",FFIEC-AIO-12.04,"With respect to design objectives, determine whether management does the following:
a. Uses defined terminology.
b. Evaluates its needs and considers:
- Collaboration between IT and business units.
- Prioritization of investments.
- Comparison of existing architecture with anticipated future changes.
- Establishment of processes to evaluate and procure technology.
- Storage, backup, and capacity needs to accommodate the entity’s strategic plans.
 Type of applications the architecture will support.
c. Includes the following aspects in its architecture design:
- Performance and reliability.
- Integrity.
- Availability and resilience.
- Scalability.
- Flexibility.
- Security and privacy.
- Interoperability and integration.
- Ability to integrate and align with one or more third-party service providers.
- Testing internally and with third-party service providers, as appropriate.
- Auditability.
- Advancements in technology.
d. Includes considerations for avoiding the potential for shadow IT and the capability to monitor and alert for its use.
e. Considers how evolving technologies (e.g., cloud, IoT, and AI/ML) can affect its design.
f. Plans for obsolescence, EOL, and decommissioning of systems.",Semantic,Superset of,8,7,"GV.RM-08.01: Technology and cybersecurity risk management frameworks are applied to, and are adapted as needed by, the organization's innovations in technology use and adoption of emerging technologies.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.01
"Objective #12: Management designs, applies, and aligns its IT architecture to meet the strategic and business objectives of the enterprise.",FFIEC-AIO-12.04,"With respect to design objectives, determine whether management does the following:
a. Uses defined terminology.
b. Evaluates its needs and considers:
- Collaboration between IT and business units.
- Prioritization of investments.
- Comparison of existing architecture with anticipated future changes.
- Establishment of processes to evaluate and procure technology.
- Storage, backup, and capacity needs to accommodate the entity’s strategic plans.
 Type of applications the architecture will support.
c. Includes the following aspects in its architecture design:
- Performance and reliability.
- Integrity.
- Availability and resilience.
- Scalability.
- Flexibility.
- Security and privacy.
- Interoperability and integration.
- Ability to integrate and align with one or more third-party service providers.
- Testing internally and with third-party service providers, as appropriate.
- Auditability.
- Advancements in technology.
d. Includes considerations for avoiding the potential for shadow IT and the capability to monitor and alert for its use.
e. Considers how evolving technologies (e.g., cloud, IoT, and AI/ML) can affect its design.
f. Plans for obsolescence, EOL, and decommissioning of systems.",Semantic,Superset of,8,7,"GV.RM-08.03: The organization defines, maintains, and uses technical security standards, architectures, processes or practices (including automated tools when practical) to ensure the security of its applications and infrastructure.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.03
"Objective #12: Management designs, applies, and aligns its IT architecture to meet the strategic and business objectives of the enterprise.",FFIEC-AIO-12.04,"With respect to design objectives, determine whether management does the following:
a. Uses defined terminology.
b. Evaluates its needs and considers:
- Collaboration between IT and business units.
- Prioritization of investments.
- Comparison of existing architecture with anticipated future changes.
- Establishment of processes to evaluate and procure technology.
- Storage, backup, and capacity needs to accommodate the entity’s strategic plans.
 Type of applications the architecture will support.
c. Includes the following aspects in its architecture design:
- Performance and reliability.
- Integrity.
- Availability and resilience.
- Scalability.
- Flexibility.
- Security and privacy.
- Interoperability and integration.
- Ability to integrate and align with one or more third-party service providers.
- Testing internally and with third-party service providers, as appropriate.
- Auditability.
- Advancements in technology.
d. Includes considerations for avoiding the potential for shadow IT and the capability to monitor and alert for its use.
e. Considers how evolving technologies (e.g., cloud, IoT, and AI/ML) can affect its design.
f. Plans for obsolescence, EOL, and decommissioning of systems.",Semantic,Superset of,4,7,"GV.RM-08.04: The organization integrates the use of technology architecture in its governance processes to support consistent approaches to security and technology design, integration of third party services, consideration and adoption of new technologies, and investment and procurement decisioning.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.04
"Objective #12: Management designs, applies, and aligns its IT architecture to meet the strategic and business objectives of the enterprise.",FFIEC-AIO-12.04,"With respect to design objectives, determine whether management does the following:
a. Uses defined terminology.
b. Evaluates its needs and considers:
- Collaboration between IT and business units.
- Prioritization of investments.
- Comparison of existing architecture with anticipated future changes.
- Establishment of processes to evaluate and procure technology.
- Storage, backup, and capacity needs to accommodate the entity’s strategic plans.
 Type of applications the architecture will support.
c. Includes the following aspects in its architecture design:
- Performance and reliability.
- Integrity.
- Availability and resilience.
- Scalability.
- Flexibility.
- Security and privacy.
- Interoperability and integration.
- Ability to integrate and align with one or more third-party service providers.
- Testing internally and with third-party service providers, as appropriate.
- Auditability.
- Advancements in technology.
d. Includes considerations for avoiding the potential for shadow IT and the capability to monitor and alert for its use.
e. Considers how evolving technologies (e.g., cloud, IoT, and AI/ML) can affect its design.
f. Plans for obsolescence, EOL, and decommissioning of systems.",Semantic,Superset of,4,7,"GV.RM-08.05: The technology architecture and associated management processes should be comprehensive (e.g., consider the full life cycle of infrastructure, applications, emerging technologies, and relevant data) and designed to achieve security and resilience commensurate with business needs.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.05
"Objective #12: Management designs, applies, and aligns its IT architecture to meet the strategic and business objectives of the enterprise.",FFIEC-AIO-12.04,"With respect to design objectives, determine whether management does the following:
a. Uses defined terminology.
b. Evaluates its needs and considers:
- Collaboration between IT and business units.
- Prioritization of investments.
- Comparison of existing architecture with anticipated future changes.
- Establishment of processes to evaluate and procure technology.
- Storage, backup, and capacity needs to accommodate the entity’s strategic plans.
 Type of applications the architecture will support.
c. Includes the following aspects in its architecture design:
- Performance and reliability.
- Integrity.
- Availability and resilience.
- Scalability.
- Flexibility.
- Security and privacy.
- Interoperability and integration.
- Ability to integrate and align with one or more third-party service providers.
- Testing internally and with third-party service providers, as appropriate.
- Auditability.
- Advancements in technology.
d. Includes considerations for avoiding the potential for shadow IT and the capability to monitor and alert for its use.
e. Considers how evolving technologies (e.g., cloud, IoT, and AI/ML) can affect its design.
f. Plans for obsolescence, EOL, and decommissioning of systems.",Semantic,Superset of,8,7,"GV.RM-08.06: Technology programs and projects are formally governed and stakeholder engagement is managed to facilitate effective communication, awareness, credible challenge, and decision-making.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.06
"Objective #12: Management designs, applies, and aligns its IT architecture to meet the strategic and business objectives of the enterprise.",FFIEC-AIO-12.04,"With respect to design objectives, determine whether management does the following:
a. Uses defined terminology.
b. Evaluates its needs and considers:
- Collaboration between IT and business units.
- Prioritization of investments.
- Comparison of existing architecture with anticipated future changes.
- Establishment of processes to evaluate and procure technology.
- Storage, backup, and capacity needs to accommodate the entity’s strategic plans.
 Type of applications the architecture will support.
c. Includes the following aspects in its architecture design:
- Performance and reliability.
- Integrity.
- Availability and resilience.
- Scalability.
- Flexibility.
- Security and privacy.
- Interoperability and integration.
- Ability to integrate and align with one or more third-party service providers.
- Testing internally and with third-party service providers, as appropriate.
- Auditability.
- Advancements in technology.
d. Includes considerations for avoiding the potential for shadow IT and the capability to monitor and alert for its use.
e. Considers how evolving technologies (e.g., cloud, IoT, and AI/ML) can affect its design.
f. Plans for obsolescence, EOL, and decommissioning of systems.",Semantic,Superset of,8,7,"GV.RM-08.07: Technology projects follow an established project management methodology to manage delivery and delivery risks, produce consistent quality, and achieve business objectives and value.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.07
"Objective #12: Management designs, applies, and aligns its IT architecture to meet the strategic and business objectives of the enterprise.",FFIEC-AIO-12.04,"With respect to design objectives, determine whether management does the following:
a. Uses defined terminology.
b. Evaluates its needs and considers:
- Collaboration between IT and business units.
- Prioritization of investments.
- Comparison of existing architecture with anticipated future changes.
- Establishment of processes to evaluate and procure technology.
- Storage, backup, and capacity needs to accommodate the entity’s strategic plans.
 Type of applications the architecture will support.
c. Includes the following aspects in its architecture design:
- Performance and reliability.
- Integrity.
- Availability and resilience.
- Scalability.
- Flexibility.
- Security and privacy.
- Interoperability and integration.
- Ability to integrate and align with one or more third-party service providers.
- Testing internally and with third-party service providers, as appropriate.
- Auditability.
- Advancements in technology.
d. Includes considerations for avoiding the potential for shadow IT and the capability to monitor and alert for its use.
e. Considers how evolving technologies (e.g., cloud, IoT, and AI/ML) can affect its design.
f. Plans for obsolescence, EOL, and decommissioning of systems.",Semantic,Superset of,4,7,"ID.AM-08.02: The organization establishes policies, and employs methods to identify, assess, and manage technology solutions that are acquired, managed, or used outside of established, governed technology and cybersecurity processes (i.e., ""Shadow IT"").",IDENTIFY / Asset Management / Asset Life Cycle Management,ID.AM-08.02
"Objective #12: Management designs, applies, and aligns its IT architecture to meet the strategic and business objectives of the enterprise.",FFIEC-AIO-12.04,"With respect to design objectives, determine whether management does the following:
a. Uses defined terminology.
b. Evaluates its needs and considers:
- Collaboration between IT and business units.
- Prioritization of investments.
- Comparison of existing architecture with anticipated future changes.
- Establishment of processes to evaluate and procure technology.
- Storage, backup, and capacity needs to accommodate the entity’s strategic plans.
 Type of applications the architecture will support.
c. Includes the following aspects in its architecture design:
- Performance and reliability.
- Integrity.
- Availability and resilience.
- Scalability.
- Flexibility.
- Security and privacy.
- Interoperability and integration.
- Ability to integrate and align with one or more third-party service providers.
- Testing internally and with third-party service providers, as appropriate.
- Auditability.
- Advancements in technology.
d. Includes considerations for avoiding the potential for shadow IT and the capability to monitor and alert for its use.
e. Considers how evolving technologies (e.g., cloud, IoT, and AI/ML) can affect its design.
f. Plans for obsolescence, EOL, and decommissioning of systems.",Semantic,Superset of,8,7,"ID.RA-06.04: The organization assesses the threats, impacts, and risks that could adversely affect the organization's ability to provide services on an ongoing basis, and develops its resilience requirements and plans to address those risks.",IDENTIFY / Risk Assessment / Risk Response Determination,ID.RA-06.04
"Objective #12: Management designs, applies, and aligns its IT architecture to meet the strategic and business objectives of the enterprise.",FFIEC-AIO-12.04,"With respect to design objectives, determine whether management does the following:
a. Uses defined terminology.
b. Evaluates its needs and considers:
- Collaboration between IT and business units.
- Prioritization of investments.
- Comparison of existing architecture with anticipated future changes.
- Establishment of processes to evaluate and procure technology.
- Storage, backup, and capacity needs to accommodate the entity’s strategic plans.
 Type of applications the architecture will support.
c. Includes the following aspects in its architecture design:
- Performance and reliability.
- Integrity.
- Availability and resilience.
- Scalability.
- Flexibility.
- Security and privacy.
- Interoperability and integration.
- Ability to integrate and align with one or more third-party service providers.
- Testing internally and with third-party service providers, as appropriate.
- Auditability.
- Advancements in technology.
d. Includes considerations for avoiding the potential for shadow IT and the capability to monitor and alert for its use.
e. Considers how evolving technologies (e.g., cloud, IoT, and AI/ML) can affect its design.
f. Plans for obsolescence, EOL, and decommissioning of systems.",Semantic,Superset of,8,7,"PR.PS-06.03: Functional, operational, resilience, and security requirements for system development and implementation projects are documented, agreed to by relevant stakeholders, and tracked and managed through development, testing, assurance, acceptance, and delivery.",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.03
